chunk_size,run_number,time_ms,throughput_mibps
8192,1,617.855,331.470
8192,2,617.971,331.407
8192,3,627.960,326.135
8192,4,622.958,328.754
8192,5,630.784,324.675
8192,6,630.605,324.768
8192,7,633.253,323.409
8192,8,627.524,326.362
8192,9,623.199,328.627
8192,10,629.226,325.479
8192,11,628.721,325.741
8192,12,627.712,326.264
8192,13,631.047,324.540
8192,14,629.260,325.462
8192,15,620.751,329.923
8192,16,620.617,329.994
8192,17,627.370,326.442
8192,18,629.448,325.365
8192,19,624.123,328.140
8192,20,626.846,326.715
8192,21,628.846,325.676
8192,22,620.958,329.813
8192,23,633.128,323.473
8192,24,626.778,326.751
8192,25,631.448,324.334
8192,26,622.562,328.963
8192,27,626.234,327.034
8192,28,625.387,327.477
8192,29,613.256,333.955
8192,30,626.739,326.771
16384,1,330.263,620.112
16384,2,330.131,620.359
16384,3,335.309,610.780
16384,4,339.038,604.062
16384,5,335.447,610.529
16384,6,331.856,617.136
16384,7,334.206,612.795
16384,8,333.796,613.548
16384,9,328.524,623.395
16384,10,332.089,616.702
16384,11,336.422,608.760
16384,12,334.769,611.765
16384,13,341.851,599.091
16384,14,333.397,614.283
16384,15,339.150,603.863
16384,16,334.539,612.186
16384,17,333.453,614.180
16384,18,333.923,613.316
16384,19,334.328,612.573
16384,20,335.290,610.814
16384,21,335.932,609.646
16384,22,339.956,602.430
16384,23,332.319,616.275
16384,24,332.190,616.514
16384,25,339.050,604.041
16384,26,334.928,611.474
16384,27,346.465,591.113
16384,28,337.976,605.960
16384,29,334.542,612.180
16384,30,336.849,607.988
24576,1,238.238,859.644
24576,2,240.219,852.557
24576,3,234.092,874.868
24576,4,234.416,873.659
24576,5,236.205,867.042
24576,6,236.235,866.932
24576,7,235.651,869.081
24576,8,236.218,866.995
24576,9,236.419,866.260
24576,10,238.744,857.823
24576,11,241.658,847.477
24576,12,243.030,842.695
24576,13,240.684,850.907
24576,14,235.954,867.966
24576,15,235.890,868.200
24576,16,233.215,878.161
24576,17,243.736,840.253
24576,18,239.799,854.047
24576,19,240.567,851.321
24576,20,247.926,826.054
24576,21,240.179,852.698
24576,22,236.680,865.302
24576,23,236.484,866.022
24576,24,237.465,862.443
24576,25,238.267,859.540
24576,26,237.211,863.365
24576,27,235.534,869.513
24576,28,237.564,862.083
24576,29,237.909,860.833
24576,30,236.354,866.495
32768,1,187.038,1094.965
32768,2,187.270,1093.606
32768,3,188.556,1086.147
32768,4,190.386,1075.710
32768,5,193.244,1059.802
32768,6,188.257,1087.872
32768,7,188.231,1088.023
32768,8,188.120,1088.668
32768,9,188.725,1085.178
32768,10,189.605,1080.138
32768,11,187.985,1089.446
32768,12,185.660,1103.092
32768,13,187.387,1092.924
32768,14,189.750,1079.316
32768,15,188.941,1083.936
32768,16,189.965,1078.095
32768,17,194.181,1054.684
32768,18,187.655,1091.363
32768,19,194.101,1055.121
32768,20,190.753,1073.640
32768,21,185.523,1103.904
32768,22,189.129,1082.860
32768,23,191.047,1071.989
32768,24,187.258,1093.680
32768,25,187.675,1091.249
32768,26,188.398,1087.059
32768,27,194.735,1051.686
32768,28,199.445,1026.847
32768,29,187.247,1093.741
32768,30,190.038,1077.680
40960,1,163.124,1255.487
40960,2,158.889,1288.952
40960,3,158.335,1293.463
40960,4,159.731,1282.157
40960,5,162.394,1261.133
40960,6,157.472,1300.551
40960,7,159.656,1282.755
40960,8,156.908,1305.220
40960,9,157.434,1300.860
40960,10,157.757,1298.202
40960,11,158.217,1294.422
40960,12,156.711,1306.868
40960,13,155.827,1314.278
40960,14,159.633,1282.944
40960,15,158.343,1293.391
40960,16,157.084,1303.760
40960,17,157.782,1297.992
40960,18,157.213,1302.694
40960,19,158.767,1289.941
40960,20,159.065,1287.527
40960,21,155.207,1319.527
40960,22,158.178,1294.743
40960,23,155.737,1315.040
40960,24,155.176,1319.791
40960,25,155.603,1316.170
40960,26,158.790,1289.754
40960,27,155.866,1313.946
40960,28,158.643,1290.952
40960,29,158.812,1289.576
