chunk_size,run_number,time_ms,throughput_mibps
8192,1,687.620,297.839
8192,2,703.920,290.942
8192,3,709.252,288.755
8192,4,692.469,295.753
8192,5,695.329,294.537
8192,6,693.863,295.159
8192,7,694.723,294.794
8192,8,690.416,296.633
8192,9,698.573,293.169
8192,10,701.884,291.786
8192,11,697.754,293.513
8192,12,700.144,292.511
8192,13,695.455,294.484
8192,14,689.083,297.206
8192,15,702.489,291.535
8192,16,697.079,293.797
8192,17,696.085,294.217
8192,18,692.447,295.763
8192,19,696.628,293.987
8192,20,699.389,292.827
8192,21,713.730,286.943
8192,22,698.186,293.331
8192,23,700.893,292.199
8192,24,695.213,294.586
8192,25,696.228,294.157
8192,26,699.490,292.785
8192,27,699.175,292.917
8192,28,698.003,293.408
8192,29,695.996,294.255
8192,30,698.690,293.120
16384,1,405.902,504.555
16384,2,398.332,514.144
16384,3,394.403,519.265
16384,4,392.801,521.384
16384,5,397.544,515.163
16384,6,400.750,511.041
16384,7,387.781,528.133
16384,8,396.137,516.993
16384,9,393.996,519.803
16384,10,394.243,519.477
16384,11,394.723,518.845
16384,12,395.211,518.204
16384,13,398.447,513.996
16384,14,402.722,508.540
16384,15,394.515,519.118
16384,16,392.851,521.317
16384,17,394.440,519.217
16384,18,402.092,509.337
16384,19,396.889,516.014
16384,20,393.412,520.574
16384,21,394.494,519.145
16384,22,394.498,519.141
16384,23,398.944,513.355
16384,24,396.609,516.378
16384,25,395.737,517.515
16384,26,393.189,520.869
16384,27,405.983,504.455
16384,28,400.697,511.110
16384,29,395.938,517.253
16384,30,392.221,522.155
24576,1,296.061,691.749
24576,2,293.880,696.884
24576,3,290.929,703.951
24576,4,298.601,685.864
24576,5,305.598,670.161
24576,6,304.554,672.458
24576,7,291.470,702.646
24576,8,293.557,697.649
24576,9,298.998,684.954
24576,10,292.510,700.148
24576,11,299.831,683.051
24576,12,293.499,697.788
24576,13,292.053,701.242
24576,14,292.499,700.173
24576,15,296.513,690.696
24576,16,294.738,694.854
24576,17,300.431,681.687
24576,18,296.659,690.354
24576,19,301.975,678.203
24576,20,298.134,686.940
24576,21,293.549,697.668
24576,22,295.471,693.132
24576,23,300.936,680.544
24576,24,308.247,664.402
24576,25,298.639,685.778
24576,26,294.634,695.100
24576,27,306.156,668.941
24576,28,294.322,695.836
24576,29,297.555,688.276
24576,30,301.400,679.496
32768,1,247.550,827.309
32768,2,247.864,826.260
32768,3,243.638,840.592
32768,4,238.429,858.955
32768,5,240.756,850.654
32768,6,242.563,844.316
32768,7,244.419,837.904
32768,8,240.026,853.242
32768,9,241.293,848.761
32768,10,242.024,846.196
32768,11,243.824,839.950
32768,12,242.179,845.655
32768,13,244.988,835.961
32768,14,242.602,844.180
32768,15,239.408,855.442
32768,16,243.322,841.682
32768,17,244.720,836.876
32768,18,244.301,838.310
32768,19,241.541,847.888
32768,20,249.205,821.814
32768,21,246.136,832.059
32768,22,241.539,847.896
32768,23,242.656,843.992
32768,24,242.331,845.125
32768,25,251.876,813.097
32768,26,244.657,837.090
32768,27,242.848,843.325
32768,28,250.809,816.557
32768,29,243.189,842.143
