chunk_size,run_number,time_ms,throughput_mibps
8192,1,692.859,295.587
8192,2,616.425,332.238
8192,3,620.896,329.846
8192,4,619.718,330.473
8192,5,618.702,331.015
8192,6,621.495,329.528
8192,7,617.830,331.483
8192,8,625.893,327.212
8192,9,621.377,329.590
8192,10,620.059,330.291
8192,11,617.151,331.848
8192,12,612.750,334.231
8192,13,616.880,331.993
8192,14,616.857,332.005
8192,15,613.602,333.767
8192,16,616.278,332.317
8192,17,616.089,332.420
8192,18,612.071,334.602
8192,19,630.227,324.962
8192,20,619.324,330.683
8192,21,621.782,329.376
8192,22,618.225,331.271
8192,23,614.576,333.238
8192,24,605.869,338.027
8192,25,612.314,334.469
8192,26,615.329,332.830
8192,27,615.693,332.633
8192,28,616.493,332.202
8192,29,607.241,337.263
8192,30,606.644,337.595
16384,1,321.808,636.404
16384,2,326.886,626.518
16384,3,327.377,625.578
16384,4,329.133,622.241
16384,5,325.101,629.958
16384,6,323.096,633.868
16384,7,324.364,631.389
16384,8,328.415,623.601
16384,9,327.594,625.164
16384,10,328.806,622.860
16384,11,329.009,622.475
16384,12,328.105,624.190
16384,13,321.092,637.824
16384,14,320.124,639.751
16384,15,329.513,621.524
16384,16,323.316,633.436
16384,17,326.891,626.509
16384,18,330.512,619.645
16384,19,328.797,622.877
16384,20,325.744,628.715
16384,21,321.320,637.371
16384,22,323.197,633.670
16384,23,329.433,621.673
16384,24,327.444,625.451
16384,25,328.572,623.302
16384,26,326.934,626.427
16384,27,328.591,623.267
16384,28,327.911,624.559
16384,29,331.974,616.916
16384,30,329.671,621.226
24576,1,237.413,862.630
24576,2,233.078,878.675
24576,3,232.206,881.975
24576,4,232.212,881.953
24576,5,231.374,885.147
24576,6,229.957,890.602
24576,7,232.022,882.676
24576,8,230.838,887.202
24576,9,231.860,883.290
24576,10,230.001,890.432
24576,11,231.049,886.391
24576,12,233.164,878.350
24576,13,234.739,872.457
24576,14,232.870,879.461
24576,15,233.355,877.634
24576,16,227.330,900.892
24576,17,228.205,897.439
24576,18,231.191,885.848
24576,19,232.936,879.210
24576,20,230.212,889.613
24576,21,231.727,883.797
24576,22,231.737,883.760
24576,23,239.598,854.765
24576,24,234.630,872.865
24576,25,235.238,870.607
24576,26,232.232,881.876
24576,27,233.173,878.318
24576,28,231.046,886.405
24576,29,232.333,881.492
24576,30,228.622,895.802
32768,1,184.475,1110.175
32768,2,184.227,1111.672
32768,3,186.327,1099.145
32768,4,183.861,1113.886
32768,5,188.287,1087.700
32768,6,182.912,1119.665
32768,7,183.531,1115.885
32768,8,183.552,1115.760
32768,9,185.479,1104.166
32768,10,184.542,1109.774
32768,11,186.142,1100.233
32768,12,184.275,1111.383
32768,13,183.238,1117.671
32768,14,184.203,1111.816
32768,15,182.933,1119.533
32768,16,183.672,1115.031
32768,17,184.245,1111.564
32768,18,184.220,1111.715
32768,19,182.991,1119.181
32768,20,184.046,1112.764
32768,21,183.949,1113.353
32768,22,181.524,1128.228
32768,23,179.931,1138.212
32768,24,182.083,1124.764
32768,25,183.123,1118.376
32768,26,183.774,1114.411
32768,27,184.626,1109.270
32768,28,185.770,1102.437
32768,29,185.261,1105.468
32768,30,184.797,1108.242
40960,1,155.630,1315.940
40960,2,156.402,1309.449
40960,3,157.709,1298.597
40960,4,155.149,1320.025
40960,5,155.855,1314.040
40960,6,155.361,1318.218
40960,7,154.355,1326.809
40960,8,154.764,1323.308
40960,9,155.854,1314.054
40960,10,154.212,1328.041
40960,11,155.757,1314.871
40960,12,155.865,1313.959
40960,13,155.412,1317.791
40960,14,155.270,1318.992
40960,15,155.476,1317.243
40960,16,155.155,1319.969
40960,17,153.364,1335.386
40960,18,154.124,1328.798
40960,19,155.970,1313.076
40960,20,155.478,1317.228
40960,21,155.017,1321.142
40960,22,157.147,1303.242
40960,23,160.212,1278.310
40960,24,166.192,1232.312
40960,25,166.387,1230.865
40960,26,157.673,1298.891
40960,27,159.039,1287.738
40960,28,157.494,1300.363
40960,29,157.211,1302.705
40960,30,156.832,1305.853
49152,1,141.640,1445.921
49152,2,135.528,1511.127
49152,3,135.686,1509.364
49152,4,135.960,1506.326
49152,5,138.005,1484.007
49152,6,136.933,1495.624
49152,7,138.974,1473.653
49152,8,136.099,1504.787
49152,9,136.865,1496.363
49152,10,137.782,1486.404
49152,11,137.172,1493.021
49152,12,135.225,1514.516
49152,13,137.001,1494.882
49152,14,136.402,1501.440
49152,15,138.408,1479.683
49152,16,136.972,1495.197
49152,17,136.047,1505.360
49152,18,136.599,1499.278
49152,19,136.854,1496.489
49152,20,136.532,1500.019
49152,21,135.901,1506.980
49152,22,135.517,1511.252
49152,23,135.650,1509.768
49152,24,135.675,1509.492
49152,25,136.622,1499.022
49152,26,133.927,1529.187
49152,27,135.874,1507.276
49152,28,137.623,1488.127
49152,29,137.881,1485.339
49152,30,137.315,1491.458
57344,1,124.959,1638.933
57344,2,122.511,1671.685
57344,3,121.569,1684.636
57344,4,123.191,1662.457
57344,5,123.962,1652.116
57344,6,121.602,1684.182
57344,7,122.205,1675.867
57344,8,122.139,1676.780
57344,9,122.231,1675.518
57344,10,122.943,1665.810
57344,11,122.894,1666.480
57344,12,122.314,1674.375
57344,13,121.461,1686.131
57344,14,122.249,1675.264
57344,15,122.020,1678.412
57344,16,121.877,1680.388
57344,17,121.952,1679.353
57344,18,122.053,1677.964
57344,19,121.540,1685.046
57344,20,121.339,1687.829
57344,21,122.053,1677.964
57344,22,121.757,1682.036
57344,23,120.866,1694.445
57344,24,123.258,1661.557
57344,25,123.352,1660.288
57344,26,123.992,1651.717
57344,27,122.471,1672.239
57344,28,130.000,1575.381
57344,29,124.532,1644.562
57344,30,131.157,1561.482
65536,1,113.203,1809.134
65536,2,111.982,1828.869
65536,3,110.796,1848.442
65536,4,113.411,1805.828
65536,5,112.765,1816.159
65536,6,111.014,1844.816
65536,7,114.303,1791.737
65536,8,112.087,1827.148
65536,9,119.152,1718.818
65536,10,112.971,1812.857
65536,11,111.864,1830.799
65536,12,114.326,1791.362
65536,13,112.447,1821.309
65536,14,113.611,1802.650
65536,15,112.983,1812.667
65536,16,113.811,1799.482
65536,17,112.431,1821.561
65536,18,110.751,1849.185
65536,19,111.882,1830.493
65536,20,114.078,1795.268
65536,21,114.680,1785.842
65536,22,111.604,1835.059
65536,23,112.273,1824.120
65536,24,116.708,1754.808
65536,25,117.418,1744.200
65536,26,112.786,1815.823
65536,27,115.655,1770.776
65536,28,117.082,1749.205
65536,29,115.609,1771.486
65536,30,111.981,1828.880
73728,1,104.796,1954.273
73728,2,102.975,1988.840
73728,3,103.540,1977.974
73728,4,103.332,1981.952
73728,5,104.225,1964.981
73728,6,103.848,1972.105
73728,7,103.164,1985.185
73728,8,103.550,1977.787
73728,9,103.414,1980.387
73728,10,103.948,1970.207
73728,11,104.112,1967.111
73728,12,104.723,1955.642
73728,13,104.506,1959.694
73728,14,103.602,1976.795
73728,15,104.773,1954.693
73728,16,103.357,1981.473
73728,17,105.877,1934.318
73728,18,102.184,2004.231
73728,19,103.840,1972.273
73728,20,103.608,1976.678
73728,21,103.215,1984.203
73728,22,103.644,1975.993
73728,23,103.177,1984.931
73728,24,103.327,1982.065
73728,25,103.650,1975.872
73728,26,103.410,1980.460
73728,27,103.147,1985.518
73728,28,104.750,1955.128
73728,29,103.799,1973.046
73728,30,104.248,1964.549
81920,1,98.198,2085.579
81920,2,98.360,2082.151
81920,3,98.089,2087.901
81920,4,96.610,2119.862
81920,5,97.445,2101.689
81920,6,98.354,2082.284
81920,7,98.625,2076.561
81920,8,97.186,2107.303
81920,9,97.291,2105.020
81920,10,97.243,2106.057
81920,11,97.700,2096.214
81920,12,97.751,2095.125
81920,13,98.590,2077.289
81920,14,111.180,1842.055
81920,15,101.375,2020.219
81920,16,99.618,2055.856
81920,17,97.596,2098.445
81920,18,97.721,2095.760
81920,19,100.215,2043.616
81920,20,98.529,2078.585
81920,21,98.332,2082.730
81920,22,101.138,2024.955
81920,23,97.659,2097.084
81920,24,100.295,2041.985
81920,25,102.815,1991.925
81920,26,101.306,2021.601
81920,27,99.029,2068.075
81920,28,96.966,2112.073
81920,29,95.929,2134.912
81920,30,96.043,2132.377
90112,1,95.962,2134.183
90112,2,97.196,2107.092
90112,3,91.858,2229.538
90112,4,92.198,2221.295
90112,5,94.806,2160.197
90112,6,94.856,2159.053
90112,7,94.591,2165.118
90112,8,91.683,2233.776
90112,9,91.722,2232.826
90112,10,94.422,2168.987
90112,11,94.366,2170.279
90112,12,92.263,2219.737
90112,13,93.199,2197.452
90112,14,93.262,2195.972
90112,15,92.554,2212.767
90112,16,93.952,2179.834
90112,17,93.720,2185.236
90112,18,94.783,2160.723
90112,19,94.159,2175.046
90112,20,92.051,2224.856
90112,21,91.610,2235.561
90112,22,92.286,2219.192
90112,23,93.004,2202.057
90112,24,92.559,2212.633
90112,25,93.735,2184.892
90112,26,92.678,2209.813
90112,27,92.850,2205.718
90112,28,92.414,2216.115
90112,29,91.350,2241.914
90112,30,91.971,2226.787
98304,1,88.307,2319.179
98304,2,87.212,2348.306
98304,3,87.622,2337.301
98304,4,88.018,2326.795
98304,5,88.060,2325.695
98304,6,87.376,2343.887
98304,7,88.083,2325.068
98304,8,87.375,2343.917
98304,9,88.286,2319.742
98304,10,88.493,2314.310
98304,11,86.836,2358.469
98304,12,87.096,2351.439
98304,13,87.469,2341.390
98304,14,86.937,2355.736
98304,15,86.811,2359.149
98304,16,87.790,2332.846
98304,17,87.793,2332.769
98304,18,87.578,2338.485
98304,19,87.690,2335.499
98304,20,87.693,2335.429
98304,21,88.043,2326.138
98304,22,87.846,2331.349
98304,23,88.332,2318.516
98304,24,87.754,2333.796
98304,25,88.371,2317.491
98304,26,87.770,2333.375
98304,27,88.767,2307.167
98304,28,87.239,2347.567
98304,29,87.316,2345.505
98304,30,87.969,2328.088
106496,1,83.952,2439.493
106496,2,82.558,2480.671
106496,3,83.225,2460.785
106496,4,84.389,2426.849
106496,5,84.758,2416.296
106496,6,84.597,2420.877
106496,7,87.880,2330.448
106496,8,84.193,2432.502
106496,9,82.267,2489.445
106496,10,83.941,2439.797
106496,11,83.581,2450.331
106496,12,83.449,2454.192
106496,13,83.826,2443.148
106496,14,85.364,2399.133
106496,15,83.415,2455.201
106496,16,84.005,2437.942
106496,17,83.931,2440.093
106496,18,83.666,2447.830
106496,19,93.955,2179.762
106496,20,87.321,2345.356
106496,21,85.274,2401.671
106496,22,84.541,2422.496
106496,23,84.787,2415.457
106496,24,84.524,2422.976
106496,25,85.591,2392.776
106496,26,84.084,2435.646
106496,27,84.312,2429.080
106496,28,84.195,2432.441
106496,29,84.727,2417.169
106496,30,83.769,2444.830
114688,1,80.650,2539.378
114688,2,81.447,2514.518
114688,3,82.225,2490.713
114688,4,80.498,2544.177
114688,5,80.127,2555.943
114688,6,79.573,2573.739
114688,7,80.491,2544.396
114688,8,80.752,2536.174
114688,9,80.019,2559.400
114688,10,83.568,2450.711
114688,11,86.577,2365.527
114688,12,82.908,2470.197
114688,13,83.635,2448.745
114688,14,80.935,2530.437
114688,15,80.833,2533.605
114688,16,80.283,2550.988
114688,17,80.882,2532.090
114688,18,80.417,2546.736
114688,19,82.142,2493.235
114688,20,80.447,2545.781
114688,21,80.550,2542.507
114688,22,80.876,2532.274
114688,23,80.598,2540.991
114688,24,80.639,2539.719
114688,25,80.893,2531.738
114688,26,81.840,2502.439
114688,27,81.238,2520.991
114688,28,81.060,2526.509
114688,29,81.333,2518.043
114688,30,80.921,2530.877
122880,1,78.302,2615.521
122880,2,78.450,2610.594
122880,3,77.914,2628.552
122880,4,79.709,2569.348
122880,5,78.247,2617.361
122880,6,79.093,2589.363
122880,7,78.564,2606.785
122880,8,80.439,2546.044
122880,9,76.871,2664.208
122880,10,79.272,2583.510
122880,11,77.320,2648.726
122880,12,79.317,2582.043
122880,13,78.184,2619.476
122880,14,78.773,2599.870
122880,15,78.802,2598.926
122880,16,78.058,2623.701
122880,17,78.371,2613.206
122880,18,77.876,2629.833
122880,19,78.013,2625.195
122880,20,77.842,2630.969
122880,21,78.861,2596.961
122880,22,79.126,2588.269
122880,23,77.896,2629.145
122880,24,77.974,2626.530
122880,25,78.493,2609.142
122880,26,78.263,2616.834
122880,27,79.264,2583.785
122880,28,78.431,2611.228
122880,29,78.775,2599.806
122880,30,78.572,2606.529
131072,1,76.107,2690.944
131072,2,76.116,2690.641
131072,3,76.271,2685.146
131072,4,75.564,2710.280
131072,5,76.684,2670.691
131072,6,74.102,2763.742
131072,7,75.506,2712.356
131072,8,77.639,2637.841
131072,9,76.502,2677.065
131072,10,76.817,2666.080
131072,11,76.309,2683.824
131072,12,78.861,2596.965
131072,13,76.438,2679.283
131072,14,76.058,2692.670
131072,15,74.777,2738.801
131072,16,76.677,2670.956
131072,17,74.868,2735.478
131072,18,76.571,2674.651
131072,19,78.775,2599.809
131072,20,80.848,2533.134
131072,21,79.359,2580.662
131072,22,77.390,2646.321
131072,23,82.016,2497.084
131072,24,78.371,2613.198
131072,25,78.858,2597.068
131072,26,75.899,2698.318
131072,27,74.991,2730.985
131072,28,74.776,2738.858
131072,29,76.495,2677.315
131072,30,75.791,2702.161
139264,1,73.184,2798.427
139264,2,74.968,2731.831
139264,3,74.547,2747.251
139264,4,73.408,2789.896
139264,5,73.513,2785.915
139264,6,73.444,2788.535
139264,7,73.595,2782.793
139264,8,74.377,2753.529
139264,9,72.944,2807.616
139264,10,72.412,2828.257
139264,11,81.056,2526.641
139264,12,74.317,2755.779
139264,13,73.561,2784.100
139264,14,74.339,2754.936
139264,15,76.868,2664.322
139264,16,75.926,2697.365
139264,17,74.261,2757.832
139264,18,75.464,2713.861
139264,19,75.104,2726.876
139264,20,73.502,2786.337
139264,21,72.741,2815.469
139264,22,72.492,2825.145
139264,23,72.325,2831.647
139264,24,72.305,2832.449
139264,25,73.443,2788.558
139264,26,73.659,2780.375
139264,27,73.837,2773.662
139264,28,72.233,2835.282
139264,29,73.231,2796.631
139264,30,72.397,2828.836
147456,1,71.019,2883.724
147456,2,73.368,2791.419
147456,3,72.723,2816.160
147456,4,73.897,2771.435
147456,5,71.972,2845.548
147456,6,73.107,2801.366
147456,7,74.444,2751.074
147456,8,76.707,2669.914
147456,9,75.644,2707.411
147456,10,75.538,2711.207
147456,11,72.988,2805.951
147456,12,72.162,2838.065
147456,13,72.450,2826.789
147456,14,75.611,2708.616
147456,15,75.215,2722.878
147456,16,72.861,2810.834
147456,17,72.080,2841.295
147456,18,71.360,2869.965
147456,19,72.323,2831.734
147456,20,72.634,2819.610
147456,21,71.602,2860.254
147456,22,71.907,2848.134
147456,23,71.720,2855.546
147456,24,71.840,2850.761
147456,25,71.441,2866.701
147456,26,71.509,2863.972
147456,27,72.394,2828.961
147456,28,71.990,2844.853
147456,29,71.657,2858.054
147456,30,71.634,2858.995
155648,1,70.433,2907.721
155648,2,70.515,2904.358
155648,3,71.104,2880.299
155648,4,70.371,2910.299
155648,5,72.837,2811.770
155648,6,70.293,2913.535
155648,7,70.991,2884.862
155648,8,72.555,2822.674
155648,9,72.765,2814.545
155648,10,72.284,2833.261
155648,11,74.198,2760.196
155648,12,71.044,2882.705
155648,13,69.283,2956.001
155648,14,71.275,2873.380
155648,15,70.047,2923.771
155648,16,68.584,2986.125
155648,17,71.136,2878.981
155648,18,69.388,2951.502
155648,19,69.322,2954.345
155648,20,69.778,2935.004
155648,21,69.379,2951.897
155648,22,69.560,2944.238
155648,23,69.623,2941.577
155648,24,69.156,2961.413
155648,25,69.170,2960.817
155648,26,70.373,2910.226
155648,27,69.044,2966.236
155648,28,70.358,2910.844
155648,29,71.119,2879.694
155648,30,69.798,2934.181
163840,1,67.534,3032.547
163840,2,69.297,2955.392
163840,3,68.876,2973.463
163840,4,71.001,2884.481
163840,5,69.661,2939.933
163840,6,68.655,2983.011
163840,7,70.650,2898.804
163840,8,70.792,2892.974
163840,9,73.025,2804.510
163840,10,70.171,2918.590
163840,11,69.460,2948.455
163840,12,68.753,2978.775
163840,13,68.224,3001.862
163840,14,67.864,3017.819
163840,15,67.871,3017.494
163840,16,68.452,2991.867
163840,17,68.720,2980.206
163840,18,69.223,2958.541
163840,19,68.155,3004.919
163840,20,70.498,2905.053
163840,21,70.362,2910.654
163840,22,69.056,2965.696
163840,23,68.989,2968.605
163840,24,68.929,2971.180
163840,25,71.368,2869.634
163840,26,68.368,2995.536
163840,27,69.569,2943.837
163840,28,70.242,2915.644
163840,29,67.924,3015.119
163840,30,68.479,2990.710
172032,1,67.734,3023.584
172032,2,68.192,3003.272
172032,3,72.533,2823.531
172032,4,69.620,2941.689
172032,5,69.418,2950.253
172032,6,67.756,3022.589
172032,7,68.088,3007.868
172032,8,71.411,2867.911
172032,9,70.351,2911.098
172032,10,69.487,2947.333
172032,11,67.866,3017.692
172032,12,66.903,3061.132
172032,13,67.485,3034.771
172032,14,68.086,3007.965
172032,15,68.778,2977.687
172032,16,66.663,3072.178
172032,17,67.653,3027.203
