chunk_size,run_number,time_ms,throughput_mibps
8192,1,687.522,297.882
8192,2,692.973,295.538
8192,3,684.781,299.074
8192,4,680.879,300.788
8192,5,681.063,300.707
8192,6,681.384,300.565
8192,7,684.300,299.284
8192,8,670.834,305.292
8192,9,685.991,298.546
8192,10,694.955,294.695
8192,11,689.094,297.202
8192,12,686.101,298.498
8192,13,685.037,298.962
8192,14,688.249,297.567
8192,15,681.423,300.548
8192,16,687.074,298.076
8192,17,693.324,295.389
8192,18,687.668,297.818
8192,19,683.350,299.700
8192,20,688.577,297.425
8192,21,683.903,299.458
8192,22,677.361,302.350
8192,23,681.848,300.360
8192,24,685.549,298.739
8192,25,687.644,297.829
8192,26,687.420,297.926
8192,27,685.344,298.828
8192,28,686.307,298.409
8192,29,689.611,296.979
8192,30,695.606,294.420
16384,1,393.242,520.799
16384,2,395.735,517.518
16384,3,390.418,524.567
16384,4,388.604,527.015
16384,5,387.885,527.992
16384,6,387.257,528.847
16384,7,392.368,521.959
16384,8,392.386,521.936
16384,9,383.515,534.008
16384,10,386.499,529.884
16384,11,386.324,530.124
16384,12,389.775,525.432
16384,13,391.243,523.459
16384,14,379.693,539.384
16384,15,388.043,527.777
16384,16,392.097,522.320
16384,17,391.451,523.181
16384,18,387.617,528.357
16384,19,384.376,532.811
16384,20,393.390,520.603
16384,21,385.874,530.744
16384,22,388.669,526.927
16384,23,384.887,532.105
16384,24,392.363,521.966
16384,25,397.849,514.768
16384,26,387.786,528.126
16384,27,387.655,528.305
16384,28,389.462,525.854
16384,29,392.245,522.122
16384,30,388.929,526.574
24576,1,287.747,711.735
24576,2,287.409,712.574
24576,3,288.471,709.951
24576,4,288.041,711.009
24576,5,293.858,696.935
24576,6,289.170,708.234
24576,7,287.547,712.230
24576,8,290.848,704.149
24576,9,286.342,715.229
24576,10,288.210,710.592
24576,11,289.448,707.553
24576,12,287.135,713.252
24576,13,284.523,719.801
24576,14,286.184,715.624
24576,15,286.790,714.111
24576,16,287.472,712.418
24576,17,286.087,715.865
24576,18,292.747,699.581
24576,19,293.199,698.502
24576,20,291.583,702.374
24576,21,301.222,679.898
24576,22,283.720,721.839
24576,23,288.432,710.047
24576,24,287.506,712.332
24576,25,287.784,711.644
24576,26,293.372,698.089
24576,27,289.744,706.830
24576,28,293.754,697.183
24576,29,296.468,690.800
24576,30,285.979,716.137
32768,1,237.605,861.935
32768,2,238.560,858.486
32768,3,239.603,854.746
32768,4,239.076,856.630
32768,5,250.082,818.932
32768,6,243.493,841.093
32768,7,244.809,836.570
32768,8,251.952,812.854
32768,9,244.356,838.121
32768,10,239.142,856.393
32768,11,242.847,843.329
32768,12,239.885,853.743
32768,13,240.582,851.270
32768,14,238.669,858.092
32768,15,238.226,859.689
32768,16,235.140,870.971
32768,17,235.294,870.401
32768,18,239.684,854.460
32768,19,237.109,863.736
32768,20,241.630,847.576
32768,21,237.724,861.505
32768,22,240.910,850.109
32768,23,240.407,851.889
32768,24,241.652,847.499
32768,25,240.344,852.114
32768,26,247.056,828.960
32768,27,239.989,853.372
32768,28,240.870,850.253
32768,29,239.251,856.005
32768,30,244.130,838.898
40960,1,219.642,932.428
40960,2,212.615,963.243
40960,3,211.805,966.926
40960,4,214.059,956.746
40960,5,212.161,965.307
40960,6,209.060,979.623
40960,7,212.100,965.581
40960,8,209.153,979.187
40960,9,211.752,967.169
40960,10,211.445,968.571
40960,11,212.076,965.692
40960,12,210.870,971.214
40960,13,210.000,975.239
40960,14,208.647,981.564
40960,15,212.735,962.699
40960,16,215.497,950.359
40960,17,227.993,898.272
40960,18,213.382,959.780
40960,19,212.998,961.510
40960,20,208.491,982.296
40960,21,212.300,964.674
40960,22,212.573,963.435
40960,23,215.390,950.832
40960,24,217.068,943.483
40960,25,208.695,981.336
40960,26,209.985,975.308
40960,27,211.394,968.809
40960,28,209.810,976.121
40960,29,211.982,966.120
40960,30,209.083,979.515
49152,1,187.677,1091.235
49152,2,196.777,1040.772
49152,3,192.134,1065.920
49152,4,195.981,1045.002
49152,5,194.840,1051.118
49152,6,192.538,1063.684
49152,7,190.051,1077.605
49152,8,190.124,1077.191
49152,9,200.468,1021.611
49152,10,196.760,1040.863
49152,11,196.271,1043.454
49152,12,190.720,1073.826
49152,13,190.963,1072.460
49152,14,188.150,1088.496
49152,15,191.019,1072.147
49152,16,196.551,1041.968
49152,17,192.355,1064.696
49152,18,190.543,1074.821
49152,19,187.030,1095.012
49152,20,192.936,1061.493
49152,21,189.295,1081.908
49152,22,192.577,1063.469
49152,23,191.102,1071.679
49152,24,195.812,1045.901
49152,25,196.341,1043.082
49152,26,192.657,1063.027
49152,27,194.219,1054.477
49152,28,193.835,1056.570
49152,29,191.264,1070.769
49152,30,193.337,1059.290
57344,1,178.827,1145.238
57344,2,175.850,1164.626
57344,3,183.327,1117.131
57344,4,181.774,1126.671
57344,5,180.846,1132.458
57344,6,177.097,1156.426
57344,7,175.598,1166.302
57344,8,177.927,1151.035
57344,9,186.340,1099.069
57344,10,178.316,1148.521
57344,11,178.791,1145.472
57344,12,173.794,1178.406
57344,13,175.235,1168.716
57344,14,179.908,1138.359
57344,15,174.135,1176.096
