chunk_size,run_number,time_ms,throughput_mibps
8192,1,260.167,787.187
8192,2,261.677,782.645
8192,3,260.056,787.522
8192,4,260.737,785.465
8192,5,260.909,784.947
8192,6,264.129,775.380
8192,7,264.460,774.409
8192,8,260.424,786.411
8192,9,259.727,788.520
8192,10,261.144,784.243
8192,11,260.753,785.416
8192,12,260.169,787.181
8192,13,259.575,788.982
8192,14,263.473,777.310
8192,15,259.786,788.341
8192,16,266.091,769.661
8192,17,257.929,794.018
8192,18,260.730,785.486
8192,19,261.412,783.437
8192,20,260.643,785.749
8192,21,259.463,789.323
8192,22,262.390,780.519
8192,23,259.923,787.924
8192,24,260.696,785.588
8192,25,261.414,783.430
8192,26,262.448,780.346
8192,27,260.745,785.442
8192,28,261.890,782.009
8192,29,261.628,782.792
8192,30,260.833,785.176
16384,1,164.834,1242.465
16384,2,166.193,1232.303
16384,3,164.637,1243.952
16384,4,165.092,1240.517
16384,5,165.275,1239.145
16384,6,164.795,1242.755
16384,7,166.100,1232.989
16384,8,166.806,1227.773
16384,9,167.610,1221.883
16384,10,164.505,1244.943
16384,11,166.086,1233.093
16384,12,165.574,1236.908
16384,13,164.739,1243.182
16384,14,165.942,1234.168
16384,15,164.920,1241.818
16384,16,164.590,1244.302
16384,17,165.063,1240.736
16384,18,164.403,1245.722
16384,19,164.426,1245.548
16384,20,164.501,1244.978
16384,21,164.489,1245.064
16384,22,164.563,1244.508
16384,23,165.203,1239.690
16384,24,164.098,1248.037
16384,25,164.630,1244.003
16384,26,165.430,1237.986
16384,27,165.025,1241.025
16384,28,164.971,1241.433
16384,29,165.310,1238.888
16384,30,165.658,1236.280
24576,1,123.054,1664.314
24576,2,122.520,1671.567
24576,3,122.341,1674.006
24576,4,122.701,1669.102
24576,5,122.609,1670.357
24576,6,123.090,1663.825
24576,7,122.875,1666.731
24576,8,122.411,1673.056
24576,9,123.216,1662.120
24576,10,123.030,1664.641
24576,11,122.806,1667.665
24576,12,122.771,1668.152
24576,13,123.026,1664.694
24576,14,123.744,1655.034
24576,15,122.670,1669.519
24576,16,122.678,1669.405
24576,17,121.901,1680.047
24576,18,122.209,1675.813
24576,19,122.577,1670.790
24576,20,122.507,1671.736
24576,21,122.709,1668.991
24576,22,132.618,1544.286
24576,23,122.981,1665.293
24576,24,122.128,1676.929
24576,25,121.741,1682.255
24576,26,122.556,1671.076
24576,27,123.261,1661.516
24576,28,122.014,1678.493
24576,29,122.308,1674.462
24576,30,121.916,1679.848
32768,1,100.110,2045.747
32768,2,100.329,2041.289
32768,3,99.835,2051.381
32768,4,99.102,2066.563
32768,5,100.758,2032.589
32768,6,100.033,2047.329
32768,7,100.992,2027.888
32768,8,101.180,2024.114
32768,9,101.010,2027.523
32768,10,101.330,2021.122
32768,11,99.959,2048.833
32768,12,100.451,2038.809
32768,13,100.750,2032.747
32768,14,100.286,2042.157
32768,15,100.305,2041.765
32768,16,100.559,2036.623
32768,17,101.237,2022.969
32768,18,100.548,2036.843
32768,19,100.301,2041.848
32768,20,100.127,2045.404
32768,21,101.804,2011.716
32768,22,102.208,2003.753
32768,23,102.798,1992.266
32768,24,99.613,2055.960
32768,25,100.435,2039.120
32768,26,101.495,2017.837
32768,27,100.857,2030.592
32768,28,99.435,2059.627
32768,29,101.387,2019.993
32768,30,103.350,1981.614
40960,1,88.301,2319.327
40960,2,88.451,2315.410
40960,3,88.294,2319.512
40960,4,88.076,2325.277
40960,5,89.866,2278.950
40960,6,90.598,2260.541
40960,7,90.526,2262.328
40960,8,87.510,2340.291
40960,9,89.178,2296.518
40960,10,89.667,2284.000
