chunk_size,run_number,time_ms,throughput_mibps
8192,1,351.079,583.345
8192,2,351.207,583.131
8192,3,353.332,579.624
8192,4,354.864,577.122
8192,5,356.813,573.971
8192,6,356.448,574.558
8192,7,355.574,575.971
8192,8,355.782,575.633
8192,9,357.086,573.531
8192,10,357.172,573.394
8192,11,357.223,573.312
8192,12,356.425,574.595
8192,13,355.943,575.373
8192,14,355.177,576.614
8192,15,356.115,575.096
8192,16,356.115,575.095
8192,17,357.342,573.120
8192,18,355.324,576.375
8192,19,355.605,575.921
8192,20,356.255,574.870
8192,21,356.248,574.880
8192,22,355.540,576.025
8192,23,358.761,570.854
8192,24,355.723,575.729
8192,25,355.599,575.930
8192,26,355.020,576.868
8192,27,355.275,576.455
8192,28,355.131,576.688
8192,29,357.103,573.504
8192,30,355.522,576.055
16384,1,221.713,923.717
16384,2,216.043,947.962
16384,3,217.902,939.874
16384,4,217.356,942.232
16384,5,218.966,935.305
16384,6,219.577,932.701
16384,7,215.986,948.211
16384,8,219.353,933.655
16384,9,218.112,938.965
16384,10,219.929,931.208
16384,11,214.396,955.241
16384,12,220.406,929.194
16384,13,217.948,939.674
16384,14,219.618,932.528
16384,15,221.454,924.797
16384,16,219.771,931.881
16384,17,219.526,932.918
16384,18,220.286,929.702
16384,19,220.046,930.714
16384,20,219.379,933.545
16384,21,217.604,941.158
16384,22,220.134,930.343
16384,23,221.667,923.909
16384,24,217.051,943.559
16384,25,219.238,934.143
16384,26,218.745,936.249
16384,27,221.367,925.159
16384,28,220.358,929.397
16384,29,217.702,940.738
16384,30,217.674,940.855
24576,1,174.284,1175.096
24576,2,171.994,1190.737
24576,3,175.077,1169.772
24576,4,174.639,1172.705
24576,5,172.305,1188.590
24576,6,175.105,1169.587
24576,7,170.640,1200.190
24576,8,175.962,1163.890
24576,9,174.558,1173.251
24576,10,174.751,1171.952
24576,11,172.524,1187.082
24576,12,175.104,1169.590
24576,13,174.642,1172.688
24576,14,173.916,1177.579
24576,15,174.526,1173.465
24576,16,176.629,1159.493
24576,17,173.451,1180.737
24576,18,174.845,1171.321
24576,19,174.963,1170.533
24576,20,176.400,1161.000
24576,21,174.389,1174.383
24576,22,171.489,1194.244
24576,23,174.930,1170.753
24576,24,176.337,1161.414
24576,25,173.831,1178.158
24576,26,174.567,1173.189
24576,27,170.832,1198.838
24576,28,173.549,1180.068
24576,29,174.046,1176.700
24576,30,178.433,1147.769
32768,1,150.251,1363.048
32768,2,142.114,1441.094
32768,3,141.978,1442.480
32768,4,139.900,1463.898
32768,5,144.776,1414.598
32768,6,139.572,1467.347
32768,7,144.706,1415.281
32768,8,139.975,1463.124
32768,9,146.028,1402.466
32768,10,144.684,1415.496
32768,11,143.326,1428.908
32768,12,143.290,1429.265
32768,13,145.272,1409.766
32768,14,143.286,1429.306
32768,15,143.681,1425.377
32768,16,144.263,1419.625
32768,17,147.105,1392.207
32768,18,143.180,1430.368
32768,19,144.182,1420.429
32768,20,147.367,1389.726
32768,21,141.895,1443.321
32768,22,143.854,1423.670
32768,23,142.981,1432.361
32768,24,141.562,1446.717
32768,25,141.696,1445.350
32768,26,145.066,1411.772
32768,27,141.999,1442.262
32768,28,148.054,1383.281
32768,29,144.046,1421.773
32768,30,144.111,1421.128
40960,1,135.818,1507.903
40960,2,130.054,1574.732
40960,3,133.767,1531.018
40960,4,131.778,1554.127
40960,5,127.905,1601.184
40960,6,131.670,1555.407
40960,7,131.492,1557.509
40960,8,133.187,1537.688
40960,9,129.966,1575.796
40960,10,129.893,1576.680
40960,11,131.234,1560.569
40960,12,130.984,1563.550
40960,13,134.964,1517.446
40960,14,129.496,1581.510
40960,15,131.789,1554.000
40960,16,130.109,1574.069
40960,17,131.798,1553.890
40960,18,129.225,1584.832
40960,19,129.719,1578.794
40960,20,129.347,1583.342
40960,21,130.407,1570.471
40960,22,131.074,1562.475
40960,23,130.127,1573.844
40960,24,131.719,1554.826
40960,25,130.880,1564.789
40960,26,131.992,1551.611
