chunk_size,run_number,time_ms,throughput_mibps
8192,1,352.942,580.265
8192,2,257.595,795.046
8192,3,251.615,813.943
8192,4,251.078,815.682
8192,5,256.909,797.169
8192,6,252.194,812.072
8192,7,252.697,810.455
8192,8,250.943,816.121
8192,9,253.110,809.135
8192,10,254.132,805.880
8192,11,252.235,811.943
8192,12,249.701,820.182
8192,13,251.423,814.565
8192,14,252.484,811.140
8192,15,251.086,815.657
8192,16,250.893,816.285
8192,17,251.103,815.603
8192,18,250.151,818.705
8192,19,252.511,811.055
8192,20,253.447,808.059
8192,21,252.331,811.632
8192,22,252.190,812.085
8192,23,253.069,809.265
8192,24,251.841,813.212
8192,25,252.108,812.351
8192,26,251.516,814.263
8192,27,251.249,815.126
8192,28,251.586,814.034
8192,29,251.274,815.047
8192,30,251.542,814.178
16384,1,159.851,1281.196
16384,2,158.617,1291.163
16384,3,159.219,1286.279
16384,4,160.918,1272.697
16384,5,160.258,1277.942
16384,6,160.426,1276.597
16384,7,161.170,1270.708
16384,8,158.898,1288.875
16384,9,159.211,1286.341
16384,10,160.272,1277.824
16384,11,159.424,1284.624
16384,12,160.193,1278.461
16384,13,160.438,1276.502
16384,14,160.164,1278.690
16384,15,160.354,1277.178
16384,16,160.735,1274.147
16384,17,160.412,1276.709
16384,18,160.146,1278.830
16384,19,161.997,1264.219
16384,20,160.446,1276.445
16384,21,159.550,1283.614
16384,22,160.396,1276.841
16384,23,158.435,1292.647
16384,24,159.433,1284.555
16384,25,160.166,1278.676
16384,26,159.015,1287.930
16384,27,160.173,1278.617
16384,28,160.033,1279.735
16384,29,159.900,1280.803
16384,30,160.465,1276.294
24576,1,120.463,1700.111
24576,2,119.532,1713.353
24576,3,119.805,1709.441
24576,4,120.135,1704.753
24576,5,119.866,1708.580
24576,6,119.335,1716.179
24576,7,120.082,1705.507
24576,8,119.841,1708.935
24576,9,122.427,1672.831
24576,10,120.133,1704.782
24576,11,121.246,1689.129
24576,12,119.234,1717.628
24576,13,120.047,1705.992
24576,14,120.497,1699.624
24576,15,120.129,1704.834
24576,16,120.082,1705.503
24576,17,120.118,1704.992
24576,18,118.885,1722.669
24576,19,119.471,1714.224
24576,20,120.519,1699.316
24576,21,119.958,1707.264
24576,22,119.451,1714.506
24576,23,119.564,1712.897
24576,24,119.904,1708.029
24576,25,119.691,1711.077
24576,26,120.563,1698.693
24576,27,122.468,1672.276
24576,28,122.010,1678.552
24576,29,118.894,1722.545
24576,30,120.342,1701.819
32768,1,99.786,2052.390
32768,2,99.421,2059.935
32768,3,100.107,2045.808
32768,4,100.829,2031.152
32768,5,100.904,2029.657
32768,6,99.448,2059.366
32768,7,100.432,2039.188
32768,8,100.939,2028.947
32768,9,99.172,2065.093
32768,10,98.409,2081.115
32768,11,99.879,2050.485
32768,12,100.434,2039.158
32768,13,100.489,2038.032
32768,14,98.705,2074.872
32768,15,99.151,2065.528
32768,16,98.200,2085.546
32768,17,98.308,2083.259
32768,18,97.833,2093.353
32768,19,98.049,2088.755
32768,20,98.369,2081.958
32768,21,98.353,2082.306
32768,22,99.225,2063.993
32768,23,97.816,2093.737
32768,24,97.699,2096.241
32768,25,97.625,2097.820
32768,26,97.955,2090.751
32768,27,98.564,2077.840
32768,28,98.359,2082.165
32768,29,98.671,2075.591
32768,30,98.880,2071.187
40960,1,86.451,2368.985
40960,2,85.879,2384.762
40960,3,85.614,2392.145
40960,4,85.695,2389.883
40960,5,86.460,2368.738
40960,6,85.963,2382.434
40960,7,86.255,2374.355
40960,8,85.980,2381.960
40960,9,85.866,2385.109
40960,10,85.963,2382.417
40960,11,85.302,2400.877
40960,12,85.342,2399.750
40960,13,85.821,2386.374
40960,14,85.804,2386.845
40960,15,86.264,2374.103
40960,16,86.313,2372.758
40960,17,86.741,2361.049
40960,18,85.239,2402.645
40960,19,85.698,2389.788
40960,20,84.935,2411.268
40960,21,85.555,2393.796
40960,22,85.328,2400.158
40960,23,85.268,2401.840
40960,24,85.831,2386.095
40960,25,85.530,2394.487
40960,26,85.617,2392.052
40960,27,86.078,2379.246
40960,28,85.412,2397.798
40960,29,85.026,2408.685
40960,30,85.169,2404.631
49152,1,78.639,2604.318
49152,2,77.972,2626.600
49152,3,78.015,2625.151
49152,4,78.719,2601.645
49152,5,78.003,2625.540
49152,6,78.560,2606.916
49152,7,78.617,2605.047
49152,8,77.964,2626.858
49152,9,78.133,2621.174
49152,10,78.775,2599.796
49152,11,78.559,2606.966
49152,12,78.016,2625.087
49152,13,78.948,2594.111
49152,14,77.919,2628.370
49152,15,78.115,2621.777
49152,16,78.232,2617.856
49152,17,78.551,2607.221
49152,18,78.222,2618.178
49152,19,78.505,2608.751
49152,20,78.495,2609.098
