chunk_size,run_number,time_ms,throughput_mibps
8192,1,346.533,590.998
8192,2,347.980,588.540
8192,3,346.815,590.516
8192,4,352.596,580.835
8192,5,349.807,585.466
8192,6,347.620,589.150
8192,7,347.542,589.281
8192,8,347.740,588.945
8192,9,348.634,587.436
8192,10,349.079,586.686
8192,11,355.556,575.999
8192,12,354.481,577.746
8192,13,355.207,576.566
8192,14,356.090,575.136
8192,15,355.876,575.482
8192,16,353.510,579.333
8192,17,354.536,577.656
8192,18,347.785,588.870
8192,19,351.119,583.277
8192,20,349.355,586.224
8192,21,349.293,586.327
8192,22,355.396,576.258
8192,23,354.180,578.236
8192,24,354.090,578.383
8192,25,349.584,585.839
8192,26,346.347,591.314
8192,27,350.948,583.562
8192,28,353.820,578.825
8192,29,355.351,576.332
8192,30,354.620,577.520
16384,1,209.317,978.419
16384,2,211.755,967.155
16384,3,214.185,956.181
16384,4,213.177,960.705
16384,5,211.108,970.117
16384,6,207.359,987.659
16384,7,206.913,989.787
16384,8,207.050,989.134
16384,9,213.621,958.708
16384,10,210.810,971.493
16384,11,207.760,985.754
16384,12,212.862,962.128
16384,13,205.891,994.699
16384,14,210.434,973.227
16384,15,209.828,976.036
16384,16,206.841,990.130
16384,17,204.308,1002.409
16384,18,205.346,997.339
16384,19,206.925,989.732
16384,20,212.207,965.097
16384,21,214.832,953.303
16384,22,207.797,985.580
16384,23,213.801,957.899
16384,24,207.810,985.514
16384,25,215.310,951.188
16384,26,205.193,998.086
16384,27,207.551,986.745
16384,28,207.686,986.104
16384,29,215.553,950.113
16384,30,220.161,930.230
24576,1,174.158,1175.941
24576,2,167.017,1226.220
24576,3,169.919,1205.278
24576,4,172.362,1188.198
24576,5,171.579,1193.617
24576,6,171.938,1191.129
24576,7,169.260,1209.976
24576,8,170.846,1198.740
24576,9,168.797,1213.293
24576,10,170.775,1199.240
24576,11,169.820,1205.981
24576,12,168.874,1212.739
24576,13,166.726,1228.360
24576,14,166.020,1233.583
24576,15,168.832,1213.039
24576,16,168.709,1213.925
24576,17,164.695,1243.508
24576,18,169.057,1211.428
24576,19,169.007,1211.781
24576,20,165.969,1233.969
24576,21,165.112,1240.368
