chunk_size,run_number,time_ms,throughput_mibps
8192,1,1275.547,160.559
8192,2,1234.959,165.835
8192,3,1235.079,165.819
8192,4,1212.580,168.896
8192,5,1242.405,164.842
8192,6,1185.821,172.707
8192,7,1206.730,169.715
8192,8,1255.556,163.115
8192,9,1219.015,168.005
8192,10,1199.351,170.759
8192,11,1145.128,178.845
8192,12,1258.571,162.724
8192,13,1204.901,169.973
8192,14,1243.306,164.722
8192,15,1241.708,164.934
8192,16,1238.572,165.352
8192,17,1246.203,164.339
8192,18,1238.616,165.346
8192,19,1204.799,169.987
8192,20,1199.554,170.730
8192,21,1253.638,163.365
8192,22,1178.720,173.748
8192,23,1157.391,176.950
8192,24,1230.997,166.369
8192,25,1220.212,167.840
8192,26,1190.070,172.091
8192,27,1227.020,166.908
8192,28,1186.410,172.622
8192,29,1163.345,176.044
8192,30,1203.743,170.136
16384,1,699.498,292.782
16384,2,635.202,322.417
16384,3,636.299,321.861
16384,4,662.787,308.998
16384,5,629.471,325.353
16384,6,669.762,305.780
16384,7,665.759,307.619
16384,8,651.312,314.442
16384,9,646.837,316.618
16384,10,652.288,313.972
16384,11,648.461,315.825
16384,12,639.725,320.138
16384,13,660.806,309.925
16384,14,650.400,314.883
16384,15,628.060,326.084
16384,16,634.104,322.975
16384,17,664.726,308.097
16384,18,651.702,314.254
16384,19,655.543,312.413
16384,20,660.245,310.188
16384,21,648.833,315.644
16384,22,647.695,316.198
16384,23,638.127,320.939
16384,24,642.728,318.642
16384,25,657.008,311.716
16384,26,651.028,314.580
16384,27,648.700,315.708
16384,28,649.254,315.439
16384,29,618.327,331.216
16384,30,643.561,318.229
24576,1,486.457,421.003
24576,2,452.025,453.072
24576,3,453.191,451.906
24576,4,465.900,439.580
24576,5,460.208,445.016
24576,6,459.139,446.052
24576,7,454.140,450.962
24576,8,464.154,441.233
24576,9,454.953,450.156
24576,10,473.265,432.739
24576,11,468.951,436.719
24576,12,479.137,427.435
24576,13,455.555,449.561
24576,14,450.520,454.586
24576,15,458.572,446.604
24576,16,450.586,454.519
24576,17,442.779,462.533
24576,18,464.884,440.540
24576,19,465.076,440.358
24576,20,456.803,448.333
24576,21,453.134,451.963
24576,22,446.434,458.746
24576,23,423.911,483.121
