chunk_size,run_number,time_ms,throughput_mibps
8192,1,1339.904,152.847
8192,2,1343.091,152.484
8192,3,1372.677,149.197
8192,4,1331.739,153.784
8192,5,1425.549,143.664
8192,6,1363.068,150.249
8192,7,1356.619,150.964
8192,8,1323.185,154.778
8192,9,1371.225,149.355
8192,10,1322.086,154.907
8192,11,1317.056,155.498
8192,12,1393.962,146.919
8192,13,1347.349,152.002
8192,14,1348.701,151.850
8192,15,1333.922,153.532
8192,16,1324.280,154.650
8192,17,1315.668,155.662
8192,18,1328.007,154.216
8192,19,1375.895,148.849
8192,20,1355.835,151.051
8192,21,1272.941,160.887
8192,22,1340.218,152.811
8192,23,1324.585,154.614
8192,24,1393.308,146.988
8192,25,1387.544,147.599
8192,26,1335.929,153.302
8192,27,1313.879,155.874
8192,28,1365.648,149.965
8192,29,1339.558,152.886
8192,30,1321.382,154.989
16384,1,713.355,287.094
16384,2,749.787,273.144
16384,3,729.919,280.579
16384,4,700.875,292.206
16384,5,694.486,294.894
16384,6,731.101,280.125
16384,7,722.247,283.560
16384,8,735.586,278.418
16384,9,729.975,280.558
16384,10,689.893,296.858
16384,11,724.641,282.623
16384,12,731.924,279.811
16384,13,734.956,278.656
16384,14,724.576,282.648
16384,15,709.208,288.773
16384,16,717.231,285.543
16384,17,717.532,285.423
16384,18,731.704,279.895
16384,19,724.263,282.770
16384,20,721.223,283.962
16384,21,711.322,287.915
16384,22,756.407,270.754
16384,23,728.565,281.100
16384,24,740.975,276.393
16384,25,710.449,288.268
16384,26,710.986,288.051
16384,27,716.904,285.673
16384,28,739.789,276.836
16384,29,725.103,282.442
16384,30,726.965,281.719
24576,1,507.975,403.169
24576,2,528.180,387.747
24576,3,521.109,393.008
24576,4,535.887,382.170
24576,5,524.478,390.483
24576,6,529.944,386.456
24576,7,506.310,404.496
24576,8,497.488,411.668
24576,9,493.502,414.993
24576,10,521.632,392.614
24576,11,519.210,394.446
24576,12,529.102,387.071
24576,13,553.757,369.837
24576,14,528.625,387.420
24576,15,529.464,386.806
24576,16,518.731,394.810
24576,17,513.025,399.201
24576,18,534.872,382.895
24576,19,513.908,398.515
24576,20,531.456,385.357
24576,21,529.673,386.654
24576,22,559.431,366.086
24576,23,524.051,390.802
24576,24,525.672,389.597
24576,25,542.548,377.478
24576,26,527.680,388.114
24576,27,517.492,395.755
24576,28,526.011,389.346
24576,29,513.866,398.547
24576,30,531.409,385.390
32768,1,426.788,479.863
32768,2,431.001,475.173
32768,3,426.298,480.415
32768,4,427.052,479.567
32768,5,429.609,476.712
32768,6,427.380,479.198
32768,7,432.448,473.583
32768,8,423.468,483.626
32768,9,416.472,491.750
32768,10,424.395,482.569
32768,11,434.373,471.484
32768,12,434.431,471.421
32768,13,429.593,476.731
32768,14,421.719,485.631
32768,15,434.786,471.037
32768,16,426.816,479.832
32768,17,423.607,483.467
32768,18,403.370,507.723
32768,19,414.997,493.498
32768,20,432.608,473.408
32768,21,424.546,482.398
32768,22,442.358,462.974
32768,23,453.147,451.950
32768,24,421.645,485.716
32768,25,413.766,494.966
32768,26,433.145,472.821
32768,27,407.313,502.807
32768,28,428.639,477.792
32768,29,428.540,477.902
32768,30,433.654,472.266
40960,1,366.822,558.310
40960,2,379.914,539.069
40960,3,371.836,550.781
40960,4,367.925,556.635
40960,5,373.111,548.899
40960,6,358.881,570.663
40960,7,363.292,563.733
40960,8,365.994,559.572
40960,9,358.065,571.964
40960,10,368.282,556.096
40960,11,371.884,550.710
40960,12,370.142,553.301
40960,13,370.685,552.490
40960,14,386.137,530.381
40960,15,366.887,558.211
40960,16,364.536,561.810
40960,17,364.734,561.506
40960,18,366.875,558.229
40960,19,364.442,561.955
40960,20,363.928,562.748
40960,21,364.002,562.634
40960,22,372.462,549.855
40960,23,375.057,546.050
40960,24,369.157,554.778
40960,25,373.961,547.650
40960,26,361.218,566.971
40960,27,359.439,569.776
40960,28,369.706,553.954
40960,29,373.920,547.711
40960,30,373.948,547.670
49152,1,328.912,622.660
49152,2,337.848,606.189
49152,3,334.292,612.639
49152,4,338.176,605.602
49152,5,324.191,631.727
49152,6,328.072,624.254
49152,7,341.614,599.507
49152,8,335.841,609.812
49152,9,328.284,623.851
49152,10,324.021,632.057
49152,11,329.274,621.974
49152,12,330.328,619.990
49152,13,330.306,620.032
49152,14,329.247,622.026
49152,15,330.984,618.762
49152,16,329.345,621.840
49152,17,332.551,615.846
49152,18,336.120,609.306
49152,19,326.369,627.510
49152,20,323.176,633.710
49152,21,330.828,619.052
49152,22,374.032,547.547
49152,23,324.414,631.292
49152,24,326.012,628.198
49152,25,335.859,609.779
49152,26,329.701,621.169
49152,27,337.781,606.311
49152,28,334.911,611.506
49152,29,334.350,612.531
49152,30,320.273,639.455
57344,1,301.408,679.477
57344,2,300.432,681.684
57344,3,304.609,672.338
57344,4,303.049,675.798
57344,5,309.666,661.358
57344,6,290.978,703.834
57344,7,311.741,656.956
57344,8,306.955,667.200
57344,9,298.471,686.165
57344,10,308.577,663.693
57344,11,302.841,676.263
57344,12,313.095,654.114
57344,13,306.085,669.094
57344,14,304.558,672.451
57344,15,315.866,648.377
57344,16,308.110,664.698
57344,17,300.567,681.379
57344,18,304.461,672.665
57344,19,299.570,683.647
57344,20,298.156,686.889
57344,21,309.040,662.697
57344,22,308.905,662.988
57344,23,305.673,669.997
57344,24,312.062,656.280
57344,25,305.569,670.225
57344,26,309.585,661.531
57344,27,309.936,660.781
57344,28,302.482,677.064
57344,29,306.035,669.205
57344,30,300.176,682.266
65536,1,281.052,728.691
65536,2,286.220,715.535
65536,3,288.710,709.363
65536,4,291.447,702.701
65536,5,288.318,710.327
65536,6,284.820,719.052
65536,7,282.671,724.518
65536,8,284.896,718.858
65536,9,283.658,721.997
65536,10,284.985,718.634
65536,11,277.117,739.037
65536,12,279.380,733.052
65536,13,284.662,719.450
65536,14,275.966,742.119
65536,15,286.610,714.560
65536,16,283.790,721.661
65536,17,291.573,702.398
65536,18,284.272,720.437
65536,19,284.379,720.167
65536,20,290.789,704.290
65536,21,281.008,728.806
65536,22,289.560,707.280
65536,23,284.934,718.764
65536,24,287.420,712.545
65536,25,285.149,718.222
65536,26,288.343,710.266
65536,27,282.467,725.041
65536,28,284.491,719.882
65536,29,280.845,729.228
65536,30,276.655,740.271
73728,1,264.859,773.242
73728,2,259.486,789.252
73728,3,268.617,762.424
73728,4,272.421,751.779
73728,5,264.778,773.478
73728,6,272.925,750.390
73728,7,266.624,768.124
73728,8,265.714,770.755
73728,9,267.013,767.003
73728,10,265.001,772.826
73728,11,270.038,758.411
73728,12,270.410,757.368
73728,13,270.646,756.707
73728,14,273.128,749.831
73728,15,267.666,765.132
73728,16,272.416,751.792
73728,17,272.878,750.520
73728,18,271.029,755.639
73728,19,266.624,768.123
73728,20,273.545,748.687
73728,21,268.769,761.994
73728,22,264.863,773.231
73728,23,270.408,757.375
73728,24,269.817,759.032
73728,25,277.965,736.782
73728,26,258.512,792.226
73728,27,264.217,775.121
73728,28,269.065,761.155
73728,29,260.593,785.900
73728,30,273.485,748.852
81920,1,254.541,804.587
81920,2,260.270,786.876
81920,3,251.100,815.610
81920,4,265.887,770.252
81920,5,252.078,812.448
81920,6,245.695,833.553
81920,7,277.969,736.773
81920,8,256.378,798.822
81920,9,249.405,821.155
81920,10,247.142,828.672
81920,11,250.156,818.689
81920,12,256.856,797.333
81920,13,251.939,812.894
81920,14,252.635,810.655
81920,15,263.131,778.321
81920,16,257.479,795.406
81920,17,248.629,823.717
81920,18,253.704,807.239
81920,19,259.516,789.162
81920,20,255.456,801.702
81920,21,248.962,822.615
81920,22,246.927,829.395
81920,23,251.632,813.887
81920,24,255.162,802.628
81920,25,260.863,785.086
81920,26,253.734,807.145
81920,27,256.952,797.035
81920,28,455.389,449.725
81920,29,255.843,800.491
81920,30,253.921,806.549
90112,1,238.377,859.143
90112,2,248.378,824.550
90112,3,246.807,829.799
90112,4,249.342,821.362
90112,5,250.592,817.265
90112,6,246.321,831.436
90112,7,246.772,829.916
90112,8,245.650,833.705
90112,9,248.632,823.707
90112,10,253.431,808.109
90112,11,242.337,845.104
90112,12,240.423,851.833
90112,13,245.969,832.624
90112,14,243.084,842.506
90112,15,251.967,812.805
90112,16,251.493,814.338
90112,17,238.821,857.545
90112,18,243.763,840.159
90112,19,244.081,839.067
90112,20,244.390,838.005
90112,21,242.065,846.055
90112,22,251.952,812.855
90112,23,248.660,823.614
90112,24,249.793,819.879
90112,25,251.206,815.267
90112,26,245.704,833.522
90112,27,251.343,814.823
90112,28,248.255,824.958
90112,29,251.307,814.939
90112,30,238.093,860.169
98304,1,244.364,838.096
98304,2,255.199,802.511
98304,3,243.134,842.333
98304,4,237.076,863.859
98304,5,242.052,846.099
98304,6,243.353,841.577
98304,7,237.536,862.184
98304,8,235.778,868.614
98304,9,239.176,856.275
98304,10,243.613,840.677
98304,11,244.172,838.751
98304,12,240.823,850.416
98304,13,234.695,872.623
98304,14,228.653,895.682
98304,15,232.573,880.582
