chunk_size,run_number,time_ms,throughput_mibps
8192,1,1646.662,124.373
8192,2,1245.578,164.422
8192,3,1215.031,168.555
8192,4,1136.651,180.178
8192,5,1169.731,175.083
8192,6,1147.543,178.468
8192,7,1248.284,164.065
8192,8,1252.058,163.571
8192,9,1256.764,162.958
8192,10,1187.689,172.436
8192,11,1227.372,166.861
8192,12,1277.153,160.357
8192,13,1285.671,159.294
8192,14,1214.852,168.580
8192,15,1248.001,164.102
8192,16,1264.382,161.976
8192,17,1239.726,165.198
8192,18,1276.987,160.377
8192,19,1289.214,158.857
8192,20,1244.914,164.509
8192,21,1231.057,166.361
8192,22,1211.637,169.027
8192,23,1150.910,177.946
8192,24,1224.401,167.265
8192,25,1125.488,181.965
8192,26,1218.612,168.060
8192,27,1228.554,166.700
8192,28,1264.238,161.995
8192,29,1283.419,159.574
8192,30,1194.852,171.402
16384,1,714.272,286.726
16384,2,685.533,298.746
16384,3,681.021,300.725
16384,4,635.333,322.351
16384,5,617.912,331.439
16384,6,633.956,323.051
16384,7,661.649,309.530
16384,8,676.647,302.669
16384,9,678.639,301.780
16384,10,632.718,323.683
16384,11,652.586,313.828
16384,12,636.412,321.804
16384,13,651.423,314.388
16384,14,682.189,300.210
16384,15,675.906,303.001
16384,16,662.956,308.920
16384,17,647.989,316.055
16384,18,646.623,316.722
16384,19,634.475,322.786
16384,20,641.394,319.304
16384,21,644.503,317.764
16384,22,644.995,317.522
16384,23,652.213,314.008
16384,24,657.037,311.702
16384,25,627.934,326.149
16384,26,636.606,321.706
16384,27,685.333,298.833
16384,28,647.317,316.383
16384,29,615.927,332.507
16384,30,616.168,332.377
24576,1,470.546,435.239
24576,2,439.206,466.296
24576,3,450.415,454.692
24576,4,451.130,453.972
24576,5,451.117,453.984
24576,6,437.481,468.134
24576,7,452.172,452.925
24576,8,443.983,461.279
24576,9,449.504,455.614
24576,10,436.139,469.575
24576,11,460.917,444.332
24576,12,455.187,449.925
24576,13,453.881,451.219
24576,14,436.133,469.581
24576,15,445.505,459.703
24576,16,447.443,457.712
24576,17,447.346,457.812
24576,18,445.505,459.703
24576,19,427.216,479.382
24576,20,441.396,463.982
24576,21,452.283,452.814
24576,22,452.374,452.723
24576,23,448.785,456.344
24576,24,446.761,458.411
24576,25,466.424,439.085
24576,26,451.528,453.571
24576,27,431.758,474.340
24576,28,434.616,471.220
24576,29,445.415,459.796
24576,30,449.031,456.094
32768,1,381.696,536.553
32768,2,356.246,574.884
32768,3,354.569,577.603
32768,4,358.873,570.676
32768,5,357.954,572.141
32768,6,366.351,559.026
32768,7,356.676,574.190
32768,8,358.186,571.769
32768,9,341.896,599.013
32768,10,359.987,568.910
32768,11,351.369,582.863
32768,12,374.256,547.219
32768,13,355.693,575.777
32768,14,381.828,536.367
32768,15,362.007,565.735
32768,16,356.859,573.896
32768,17,351.246,583.067
32768,18,347.757,588.918
32768,19,350.463,584.370
32768,20,361.296,566.848
32768,21,356.161,575.020
32768,22,364.892,561.262
32768,23,357.208,573.336
32768,24,345.430,592.884
32768,25,359.870,569.094
32768,26,353.852,578.774
32768,27,351.599,582.481
32768,28,356.679,574.187
32768,29,349.042,586.750
32768,30,351.169,583.194
40960,1,335.237,610.910
40960,2,282.759,724.292
40960,3,285.337,717.748
40960,4,292.087,701.162
40960,5,290.846,704.152
40960,6,292.994,698.990
40960,7,293.868,696.912
40960,8,293.134,698.657
40960,9,283.911,721.354
40960,10,293.607,697.531
40960,11,290.590,704.774
40960,12,294.317,695.848
40960,13,286.783,714.129
40960,14,284.733,719.270
40960,15,288.633,709.551
40960,16,289.713,706.905
40960,17,277.432,738.198
40960,18,295.003,694.230
40960,19,293.488,697.815
40960,20,292.764,699.540
40960,21,291.749,701.973
40960,22,293.473,697.849
40960,23,284.332,720.284
40960,24,290.723,704.451
40960,25,289.182,708.204
40960,26,296.436,690.875
40960,27,296.538,690.636
40960,28,293.202,698.495
40960,29,295.471,693.131
40960,30,293.402,698.019
49152,1,299.193,684.508
49152,2,256.721,797.753
49152,3,255.590,801.284
49152,4,258.563,792.070
49152,5,255.458,801.698
49152,6,258.343,792.744
49152,7,253.161,808.970
49152,8,269.758,759.198
49152,9,257.525,795.264
49152,10,260.141,787.264
49152,11,255.833,800.523
49152,12,257.272,796.045
49152,13,246.385,831.219
49152,14,256.429,798.662
49152,15,254.254,805.494
49152,16,255.503,801.555
49152,17,254.826,803.684
49152,18,254.578,804.469
49152,19,253.186,808.892
49152,20,252.573,810.854
49152,21,250.676,816.990
49152,22,260.519,786.123
49152,23,259.393,789.536
49152,24,261.478,783.239
49152,25,256.797,797.518
49152,26,257.688,794.760
49152,27,257.828,794.327
49152,28,255.996,800.013
49152,29,252.116,812.326
49152,30,246.037,832.395
57344,1,252.372,811.500
57344,2,231.151,886.001
57344,3,233.295,877.859
57344,4,222.103,922.093
57344,5,226.053,905.980
57344,6,221.023,926.599
57344,7,222.625,919.934
57344,8,222.016,922.455
57344,9,223.754,915.292
57344,10,224.224,913.373
57344,11,223.086,918.032
57344,12,230.343,889.107
57344,13,223.258,917.324
57344,14,221.170,925.985
57344,15,210.388,973.438
57344,16,221.091,926.315
57344,17,223.075,918.075
57344,18,230.224,889.569
57344,19,221.175,925.962
57344,20,222.463,920.604
57344,21,228.625,895.790
57344,22,221.629,924.066
57344,23,222.262,921.436
57344,24,221.205,925.837
57344,25,220.271,929.764
57344,26,225.070,909.937
57344,27,222.547,920.257
57344,28,232.452,881.041
57344,29,222.619,919.957
57344,30,221.860,923.105
65536,1,233.252,878.021
65536,2,205.070,998.684
65536,3,203.340,1007.179
65536,4,202.379,1011.961
65536,5,201.900,1014.363
65536,6,205.396,997.098
65536,7,208.901,980.369
65536,8,202.537,1011.175
65536,9,208.424,982.613
65536,10,204.997,999.038
65536,11,205.347,997.334
65536,12,205.733,995.466
65536,13,202.915,1009.290
65536,14,202.738,1010.170
65536,15,207.301,987.936
65536,16,210.415,973.316
65536,17,210.348,973.626
65536,18,201.073,1018.535
65536,19,205.015,998.951
65536,20,207.087,988.957
65536,21,214.707,953.860
65536,22,204.113,1003.366
65536,23,205.596,996.130
65536,24,208.907,980.342
65536,25,205.987,994.237
65536,26,210.899,971.082
65536,27,213.998,957.018
65536,28,207.493,987.023
65536,29,211.517,968.242
65536,30,204.916,999.434
73728,1,219.734,932.035
73728,2,191.625,1068.756
73728,3,182.547,1121.900
73728,4,181.158,1130.506
73728,5,189.807,1078.990
73728,6,196.223,1043.708
73728,7,190.142,1077.088
73728,8,189.198,1082.466
73728,9,186.150,1100.187
73728,10,186.172,1100.060
73728,11,182.125,1124.503
73728,12,184.471,1110.204
73728,13,178.795,1145.448
73728,14,183.292,1117.344
73728,15,177.963,1150.803
73728,16,186.215,1099.805
73728,17,183.184,1118.002
73728,18,184.269,1111.422
73728,19,185.692,1102.903
73728,20,184.576,1109.572
73728,21,184.246,1111.560
73728,22,185.319,1105.123
73728,23,181.375,1129.150
73728,24,184.409,1110.574
73728,25,183.783,1114.360
73728,26,184.405,1110.596
73728,27,185.000,1107.028
73728,28,188.813,1084.670
73728,29,180.305,1135.852
73728,30,181.991,1125.332
81920,1,204.139,1003.240
81920,2,176.009,1163.578
81920,3,174.455,1173.940
81920,4,187.042,1094.938
81920,5,173.060,1183.404
81920,6,170.024,1204.538
81920,7,173.881,1177.816
81920,8,177.806,1151.815
81920,9,173.633,1179.500
81920,10,174.067,1176.556
81920,11,174.383,1174.427
81920,12,172.009,1190.633
81920,13,174.590,1173.036
81920,14,175.067,1169.837
81920,15,177.990,1150.624
81920,16,173.349,1181.430
81920,17,176.508,1160.290
81920,18,173.111,1183.059
81920,19,173.924,1177.525
81920,20,176.649,1159.362
81920,21,182.834,1120.140
81920,22,170.035,1204.455
81920,23,179.070,1143.689
81920,24,174.555,1173.267
81920,25,174.435,1174.079
81920,26,173.610,1179.652
81920,27,184.403,1110.613
81920,28,174.941,1170.679
81920,29,183.100,1118.513
81920,30,177.192,1155.812
90112,1,198.148,1033.569
90112,2,158.399,1292.934
90112,3,159.774,1281.813
90112,4,161.419,1268.747
90112,5,161.505,1268.071
90112,6,161.249,1270.088
90112,7,160.490,1276.093
90112,8,160.881,1272.991
90112,9,161.746,1266.179
90112,10,160.356,1277.155
90112,11,163.435,1253.100
90112,12,160.594,1275.264
90112,13,158.780,1289.839
90112,14,161.181,1270.617
90112,15,160.410,1276.726
90112,16,159.785,1281.724
90112,17,158.715,1290.360
90112,18,157.719,1298.509
90112,19,153.127,1337.450
90112,20,167.321,1223.994
90112,21,157.257,1302.323
90112,22,156.185,1311.269
90112,23,150.174,1363.753
90112,24,161.829,1265.536
90112,25,158.811,1289.580
90112,26,159.015,1287.931
90112,27,159.298,1285.644
90112,28,159.779,1281.767
90112,29,158.578,1291.480
90112,30,158.609,1291.223
98304,1,182.634,1121.365
98304,2,152.826,1340.088
98304,3,152.494,1343.004
98304,4,157.441,1300.801
98304,5,154.556,1325.088
98304,6,155.769,1314.768
98304,7,152.636,1341.758
98304,8,153.796,1331.631
98304,9,159.647,1282.828
98304,10,155.987,1312.926
98304,11,155.578,1316.384
98304,12,169.397,1208.997
98304,13,153.329,1335.686
98304,14,156.144,1311.609
98304,15,146.832,1394.796
98304,16,149.063,1373.917
98304,17,153.948,1330.317
98304,18,154.980,1321.464
98304,19,153.445,1334.679
98304,20,155.355,1318.270
98304,21,154.146,1328.614
98304,22,156.215,1311.011
98304,23,155.303,1318.712
98304,24,154.433,1326.142
98304,25,155.839,1314.177
98304,26,154.055,1329.397
98304,27,154.303,1327.256
98304,28,153.810,1331.513
98304,29,153.651,1332.894
98304,30,153.703,1332.437
106496,1,171.484,1194.278
106496,2,140.956,1452.936
106496,3,143.016,1432.006
106496,4,143.710,1425.089
106496,5,142.036,1441.887
106496,6,140.794,1454.605
106496,7,143.173,1430.442
106496,8,142.346,1438.747
106496,9,142.831,1433.867
106496,10,143.525,1426.933
106496,11,143.153,1430.634
106496,12,135.294,1513.739
106496,13,141.908,1443.187
106496,14,146.659,1396.441
106496,15,143.075,1431.413
106496,16,144.170,1420.542
106496,17,142.993,1432.237
