chunk_size,run_number,time_ms,throughput_mibps
8192,1,1469.528,139.364
8192,2,1638.309,125.007
8192,3,1413.861,144.852
8192,4,1467.468,139.560
8192,5,1440.342,142.188
8192,6,1392.124,147.113
8192,7,1408.175,145.437
8192,8,1492.397,137.229
8192,9,1572.836,130.211
8192,10,1363.435,150.209
8192,11,1496.526,136.850
8192,12,1405.948,145.667
8192,13,1518.859,134.838
8192,14,1605.033,127.599
8192,15,1530.586,133.805
8192,16,1552.252,131.937
8192,17,1541.039,132.897
8192,18,1474.272,138.916
8192,19,1484.308,137.977
8192,20,1472.081,139.123
8192,21,1530.984,133.770
8192,22,1550.391,132.096
8192,23,1534.375,133.475
8192,24,1459.196,140.351
8192,25,1595.092,128.394
8192,26,1395.498,146.758
8192,27,1399.073,146.383
8192,28,1524.959,134.299
8192,29,1420.040,144.221
8192,30,1505.136,136.067
16384,1,844.677,242.460
16384,2,762.138,268.718
16384,3,761.130,269.073
16384,4,757.494,270.365
16384,5,768.258,266.577
16384,6,736.744,277.980
16384,7,810.120,252.802
16384,8,766.173,267.302
16384,9,725.556,282.266
16384,10,756.479,270.728
16384,11,743.577,275.426
16384,12,751.292,272.597
16384,13,778.663,263.015
16384,14,816.765,250.745
16384,15,761.894,268.804
16384,16,744.786,274.978
16384,17,773.473,264.780
16384,18,818.309,250.272
16384,19,807.490,253.625
16384,20,767.908,266.698
16384,21,740.527,276.560
16384,22,788.835,259.623
16384,23,801.603,255.488
16384,24,849.176,241.175
16384,25,807.781,253.534
16384,26,731.377,280.020
16384,27,816.330,250.879
16384,28,750.455,272.901
16384,29,812.361,252.105
16384,30,762.621,268.548
24576,1,527.124,388.524
24576,2,599.455,341.644
24576,3,554.494,369.346
24576,4,572.454,357.758
24576,5,584.523,350.371
24576,6,555.454,368.707
24576,7,583.468,351.005
24576,8,545.560,375.394
24576,9,537.969,380.691
24576,10,560.273,365.536
24576,11,554.285,369.485
24576,12,577.365,354.715
24576,13,595.427,343.955
24576,14,550.182,372.240
24576,15,519.212,394.444
24576,16,555.167,368.898
24576,17,596.317,343.442
24576,18,573.096,357.357
24576,19,547.052,374.370
24576,20,547.887,373.799
24576,21,531.690,385.187
24576,22,577.166,354.837
24576,23,598.323,342.290
24576,24,599.692,341.508
24576,25,545.532,375.413
24576,26,556.740,367.856
24576,27,552.448,370.714
24576,28,538.286,380.467
24576,29,550.582,371.970
24576,30,541.739,378.042
32768,1,460.084,445.136
32768,2,447.472,457.682
32768,3,447.736,457.412
32768,4,471.521,434.339
32768,5,442.294,463.040
32768,6,427.345,479.239
32768,7,443.867,461.399
32768,8,441.956,463.394
32768,9,481.826,425.049
32768,10,446.786,458.385
32768,11,444.825,460.406
32768,12,488.208,419.493
32768,13,435.821,469.918
32768,14,435.617,470.138
32768,15,440.915,464.489
32768,16,443.553,461.726
32768,17,436.282,469.421
32768,18,442.394,462.935
32768,19,436.873,468.786
32768,20,432.990,472.990
32768,21,418.713,489.118
32768,22,415.901,492.425
32768,23,427.844,478.680
32768,24,438.462,467.087
32768,25,461.470,443.799
32768,26,438.594,466.946
32768,27,443.527,461.753
32768,28,439.043,466.469
32768,29,467.109,438.442
32768,30,439.479,466.006
40960,1,379.265,539.992
40960,2,386.356,530.081
40960,3,384.509,532.627
40960,4,412.049,497.028
40960,5,377.442,542.600
40960,6,373.367,548.522
40960,7,380.087,538.824
40960,8,378.836,540.603
40960,9,380.595,538.105
40960,10,375.421,545.520
40960,11,398.587,513.815
40960,12,376.649,543.742
40960,13,396.747,516.198
40960,14,373.754,547.954
40960,15,389.166,526.254
40960,16,383.445,534.105
40960,17,396.483,516.542
40960,18,376.024,544.646
40960,19,373.057,548.978
40960,20,356.079,575.154
40960,21,368.258,556.131
40960,22,391.876,522.614
40960,23,403.959,506.982
40960,24,380.841,537.757
40960,25,375.881,544.853
40960,26,384.373,532.816
40960,27,385.247,531.606
40960,28,361.175,567.038
40960,29,381.408,536.957
40960,30,380.212,538.648
49152,1,327.503,625.337
49152,2,341.250,600.146
49152,3,339.838,602.639
49152,4,331.885,617.082
49152,5,346.569,590.936
49152,6,341.309,600.043
49152,7,339.137,603.885
49152,8,329.158,622.194
49152,9,332.973,615.065
49152,10,337.209,607.338
49152,11,362.362,565.181
49152,12,336.219,609.127
49152,13,349.141,586.582
49152,14,336.502,608.615
49152,15,341.952,598.914
49152,16,335.262,610.866
49152,17,333.340,614.388
49152,18,331.565,617.677
49152,19,327.200,625.916
49152,20,319.003,642.000
49152,21,340.436,601.581
49152,22,320.868,638.269
49152,23,338.352,605.286
49152,24,330.537,619.597
49152,25,341.058,600.484
49152,26,333.981,613.208
49152,27,333.810,613.522
49152,28,339.888,602.551
49152,29,337.717,606.425
49152,30,327.569,625.213
57344,1,327.374,625.584
57344,2,319.861,640.279
57344,3,303.729,674.285
57344,4,299.190,684.514
57344,5,310.182,660.257
57344,6,305.705,669.926
57344,7,303.285,675.272
57344,8,302.914,676.099
57344,9,297.019,689.519
57344,10,317.631,644.773
57344,11,312.061,656.282
57344,12,308.708,663.410
57344,13,298.578,685.918
57344,14,306.045,669.183
57344,15,304.316,672.986
57344,16,301.669,678.890
57344,17,308.005,664.925
57344,18,306.478,668.237
57344,19,301.310,679.698
57344,20,300.258,682.081
57344,21,318.074,643.875
57344,22,306.058,669.154
57344,23,301.137,680.088
57344,24,307.283,666.486
57344,25,299.116,684.685
57344,26,306.730,667.689
57344,27,292.390,700.435
57344,28,320.486,639.030
57344,29,300.639,681.216
57344,30,302.803,676.347
65536,1,284.400,720.111
65536,2,279.295,733.275
65536,3,294.539,695.324
65536,4,299.294,684.277
65536,5,308.085,664.752
65536,6,279.834,731.863
65536,7,286.935,713.752
65536,8,269.911,758.769
65536,9,282.655,724.557
65536,10,282.306,725.453
65536,11,286.032,716.004
65536,12,275.711,742.807
65536,13,274.206,746.883
65536,14,294.836,694.624
65536,15,285.594,717.101
65536,16,280.238,730.808
65536,17,295.598,692.833
65536,18,305.435,670.520
65536,19,308.531,663.791
65536,20,296.654,690.367
65536,21,279.023,733.990
65536,22,279.348,733.135
65536,23,292.427,700.345
65536,24,297.580,688.218
65536,25,290.882,704.065
65536,26,294.417,695.613
65536,27,285.232,718.013
65536,28,282.658,724.550
65536,29,286.225,715.520
65536,30,278.518,735.321
73728,1,275.269,744.001
73728,2,273.130,749.826
73728,3,268.177,763.674
73728,4,276.648,740.291
73728,5,264.970,772.918
73728,6,265.746,770.662
73728,7,284.419,720.066
73728,8,267.549,765.468
73728,9,284.459,719.964
73728,10,269.198,760.779
73728,11,267.299,766.182
73728,12,290.517,704.949
73728,13,267.180,766.524
73728,14,269.900,758.801
73728,15,274.309,746.604
73728,16,275.676,742.902
73728,17,278.182,736.209
73728,18,270.998,755.725
73728,19,270.880,756.053
73728,20,263.127,778.333
73728,21,268.892,761.645
73728,22,268.728,762.109
73728,23,272.394,751.851
73728,24,272.555,751.409
73728,25,273.769,748.075
73728,26,288.929,708.825
73728,27,280.904,729.076
73728,28,271.608,754.027
73728,29,259.500,789.211
73728,30,261.069,784.466
81920,1,249.766,819.969
81920,2,255.053,802.969
81920,3,250.474,817.650
81920,4,257.027,796.805
81920,5,253.183,808.900
81920,6,258.500,792.262
81920,7,251.798,813.352
81920,8,259.783,788.349
81920,9,263.430,777.436
81920,10,277.291,738.574
81920,11,275.703,742.828
81920,12,252.992,809.512
81920,13,255.121,802.757
81920,14,252.899,809.809
81920,15,253.208,808.821
81920,16,264.136,775.358
81920,17,250.010,819.168
81920,18,265.964,770.030
81920,19,249.164,821.949
81920,20,270.999,755.723
81920,21,253.306,808.508
81920,22,268.073,763.972
81920,23,255.081,802.884
81920,24,258.431,792.475
81920,25,244.025,839.260
81920,26,252.112,812.337
81920,27,250.904,816.248
81920,28,250.729,816.819
81920,29,253.003,809.478
81920,30,261.836,782.170
90112,1,248.090,825.506
90112,2,250.108,818.846
90112,3,245.473,834.309
90112,4,241.178,849.164
90112,5,255.252,802.345
90112,6,254.937,803.337
90112,7,241.181,849.154
90112,8,243.066,842.569
90112,9,245.174,835.324
90112,10,240.089,853.018
90112,11,237.400,862.680
90112,12,238.468,858.816
90112,13,248.447,824.320
90112,14,245.531,834.110
90112,15,254.419,804.971
90112,16,243.798,840.039
90112,17,246.348,831.344
90112,18,243.874,839.777
90112,19,243.541,840.927
90112,20,257.918,794.051
90112,21,233.875,875.682
90112,22,233.391,877.498
90112,23,241.720,847.262
90112,24,232.040,882.608
90112,25,233.718,876.271
90112,26,254.260,805.474
90112,27,250.668,817.016
90112,28,254.367,805.136
90112,29,251.520,814.250
90112,30,247.860,826.273
98304,1,239.129,856.443
98304,2,227.980,898.326
98304,3,232.762,879.867
98304,4,243.618,840.660
98304,5,238.506,858.677
98304,6,231.396,885.062
98304,7,235.651,869.081
98304,8,241.902,846.624
98304,9,236.366,866.454
98304,10,238.681,858.049
98304,11,242.650,844.013
98304,12,242.613,844.142
98304,13,237.219,863.338
98304,14,244.014,839.296
98304,15,239.427,855.376
98304,16,240.082,853.041
98304,17,239.332,855.715
98304,18,233.888,875.632
98304,19,236.899,864.502
98304,20,232.489,880.902
98304,21,230.532,888.379
98304,22,231.623,884.197
98304,23,230.776,887.442
98304,24,235.505,869.622
98304,25,238.427,858.963
98304,26,226.563,903.942
98304,27,235.118,871.053
98304,28,250.410,817.860
98304,29,230.230,889.544
98304,30,232.835,879.594
106496,1,220.148,930.283
106496,2,238.661,858.122
106496,3,234.104,874.825
106496,4,230.043,890.269
106496,5,232.479,880.940
106496,6,252.591,810.798
106496,7,240.531,851.450
106496,8,234.594,872.997
106496,9,240.000,853.334
106496,10,241.652,847.499
106496,11,225.357,908.780
106496,12,232.318,881.551
106496,13,232.801,879.723
106496,14,235.486,869.690
106496,15,233.057,878.755
106496,16,242.967,842.911
106496,17,234.984,871.550
106496,18,233.141,878.437
106496,19,228.571,896.003
106496,20,244.569,837.391
106496,21,236.663,865.364
106496,22,227.816,898.971
106496,23,226.083,905.862
106496,24,236.445,866.164
106496,25,231.327,885.325
106496,26,233.962,875.355
106496,27,227.315,900.954
106496,28,227.094,901.831
106496,29,231.112,886.151
106496,30,236.035,867.668
114688,1,230.221,889.579
114688,2,227.940,898.481
114688,3,222.220,921.608
114688,4,228.803,895.093
114688,5,224.728,911.323
114688,6,227.204,901.391
114688,7,229.685,891.655
114688,8,225.787,907.048
114688,9,218.709,936.406
114688,10,224.998,910.229
114688,11,220.328,929.525
114688,12,220.970,926.823
114688,13,217.141,943.166
114688,14,220.380,929.303
114688,15,222.759,919.378
114688,16,229.037,894.179
114688,17,225.329,908.894
114688,18,215.225,951.562
114688,19,224.050,914.081
114688,20,231.296,885.444
114688,21,222.628,919.921
114688,22,219.319,933.798
114688,23,223.654,915.699
114688,24,222.134,921.965
114688,25,219.434,933.310
114688,26,224.130,913.755
114688,27,229.810,891.170
114688,28,222.140,921.943
114688,29,220.441,929.046
114688,30,216.003,948.134
122880,1,219.726,932.072
122880,2,222.122,922.017
122880,3,218.145,938.825
122880,4,218.786,936.075
122880,5,219.443,933.271
122880,6,224.439,912.496
122880,7,217.961,939.618
122880,8,215.310,951.188
122880,9,211.008,970.581
122880,10,215.845,948.828
122880,11,209.421,977.934
122880,12,224.474,912.354
122880,13,234.987,871.536
122880,14,218.464,937.454
122880,15,225.634,907.666
122880,16,220.755,927.725
122880,17,216.547,945.754
122880,18,217.090,943.388
122880,19,215.145,951.914
122880,20,214.911,952.955
122880,21,216.986,943.839
122880,22,216.757,944.835
122880,23,224.124,913.781
122880,24,224.811,910.986
122880,25,218.185,938.655
122880,26,219.533,932.890
122880,27,223.117,917.906
122880,28,230.471,888.614
122880,29,214.570,954.467
122880,30,218.463,937.457
131072,1,224.628,911.730
131072,2,221.674,923.879
131072,3,223.828,914.988
131072,4,222.086,922.166
131072,5,229.477,892.465
131072,6,213.297,960.162
131072,7,218.494,937.326
131072,8,216.316,946.765
131072,9,221.190,925.899
131072,10,213.872,957.581
131072,11,220.403,929.208
131072,12,218.600,936.869
131072,13,217.270,942.607
131072,14,213.061,961.228
131072,15,220.331,929.509
131072,16,227.501,900.215
131072,17,226.394,904.617
131072,18,227.253,901.199
131072,19,229.619,891.911
131072,20,217.671,940.868
131072,21,217.439,941.875
131072,22,210.556,972.665
131072,23,209.626,976.978
131072,24,214.127,956.444
131072,25,205.090,998.588
131072,26,224.393,912.683
131072,27,215.864,948.744
131072,28,212.903,961.940
131072,29,220.782,927.612
131072,30,219.865,931.481
139264,1,215.645,949.709
139264,2,210.603,972.445
139264,3,206.110,993.646
139264,4,213.180,960.693
139264,5,215.593,949.937
139264,6,215.510,950.306
139264,7,219.030,935.030
139264,8,211.939,966.316
139264,9,229.202,893.534
139264,10,213.553,959.014
139264,11,242.141,845.788
139264,12,221.744,923.589
139264,13,214.884,953.073
139264,14,212.001,966.034
139264,15,215.108,952.082
139264,16,216.311,946.784
139264,17,210.020,975.147
139264,18,212.030,965.900
139264,19,216.333,946.691
139264,20,216.960,943.952
139264,21,211.989,966.086
139264,22,206.793,990.365
139264,23,213.136,960.887
139264,24,209.153,979.190
139264,25,210.166,974.469
139264,26,209.240,978.782
139264,27,208.688,981.367
139264,28,210.720,971.906
139264,29,217.318,942.396
139264,30,213.464,959.411
147456,1,211.524,968.212
147456,2,207.227,988.286
147456,3,212.950,961.728
147456,4,215.794,949.054
147456,5,216.456,946.152
147456,6,207.620,986.419
147456,7,230.110,890.010
147456,8,214.092,956.598
147456,9,210.425,973.268
147456,10,208.805,980.820
147456,11,218.276,938.262
147456,12,214.778,953.541
147456,13,214.783,953.522
147456,14,209.706,976.608
147456,15,215.407,950.758
147456,16,212.831,962.268
147456,17,213.917,957.381
147456,18,217.691,940.782
147456,19,212.782,962.487
147456,20,214.200,956.118
147456,21,214.168,956.258
147456,22,212.349,964.452
147456,23,211.485,968.388
147456,24,216.708,945.050
147456,25,220.603,928.363
147456,26,214.672,954.013
147456,27,207.349,987.706
147456,28,221.767,923.493
147456,29,220.871,927.239
147456,30,218.879,935.676
155648,1,219.244,934.118
155648,2,216.651,945.298
155648,3,208.230,983.527
155648,4,215.361,950.963
155648,5,215.457,950.538
155648,6,217.818,940.235
155648,7,212.387,964.278
155648,8,213.757,958.097
155648,9,214.669,954.029
155648,10,207.332,987.787
155648,11,211.399,968.785
155648,12,207.250,988.177
155648,13,223.904,914.679
155648,14,205.037,998.842
155648,15,215.739,949.296
155648,16,209.594,977.126
155648,17,218.542,937.119
155648,18,211.135,969.994
155648,19,214.945,952.803
155648,20,214.932,952.859
155648,21,214.770,953.578
155648,22,204.517,1001.384
155648,23,216.109,947.669
155648,24,225.604,907.785
155648,25,218.715,936.377
155648,26,212.794,962.432
155648,27,205.102,998.526
155648,28,210.963,970.784
155648,29,217.970,939.578
155648,30,216.216,947.203
163840,1,200.769,1020.076
