chunk_size,run_number,time_ms,throughput_mibps
8192,1,802.552,255.186
8192,2,742.236,275.923
8192,3,773.979,264.607
8192,4,717.897,285.278
8192,5,744.514,275.079
8192,6,732.194,279.707
8192,7,760.133,269.426
8192,8,737.346,277.753
8192,9,747.073,274.136
8192,10,734.437,278.853
8192,11,712.601,287.398
8192,12,739.225,277.047
8192,13,764.191,267.996
8192,14,744.351,275.139
8192,15,788.127,259.857
8192,16,752.810,272.047
8192,17,766.597,267.155
8192,18,775.111,264.220
8192,19,780.558,262.377
8192,20,749.479,273.257
8192,21,752.004,272.339
8192,22,758.019,270.178
8192,23,767.500,266.840
8192,24,740.554,276.550
8192,25,738.415,277.351
8192,26,718.246,285.139
8192,27,723.900,282.912
8192,28,736.491,278.076
8192,29,745.639,274.664
8192,30,720.214,284.360
16384,1,448.708,456.422
16384,2,405.063,505.600
16384,3,398.607,513.789
16384,4,410.945,498.364
16384,5,411.211,498.041
16384,6,418.989,488.795
16384,7,418.860,488.946
16384,8,404.350,506.491
16384,9,406.102,504.307
16384,10,405.958,504.485
16384,11,418.271,489.635
16384,12,386.416,529.998
16384,13,389.118,526.318
16384,14,378.374,541.263
16384,15,380.976,537.566
16384,16,427.947,478.564
16384,17,419.953,487.673
16384,18,401.492,510.097
16384,19,411.043,498.245
16384,20,417.202,490.889
16384,21,434.381,471.476
16384,22,388.818,526.725
16384,23,398.818,513.518
16384,24,406.118,504.287
16384,25,402.589,508.708
16384,26,410.629,498.747
16384,27,406.683,503.587
16384,28,415.515,492.882
16384,29,422.097,485.196
16384,30,417.646,490.368
24576,1,343.698,595.871
24576,2,282.526,724.888
24576,3,281.137,728.472
24576,4,283.222,723.108
24576,5,298.773,685.470
24576,6,296.964,689.646
24576,7,304.776,671.968
24576,8,301.603,679.037
24576,9,301.733,678.747
24576,10,301.682,678.861
24576,11,301.381,679.538
24576,12,295.404,693.288
24576,13,298.593,685.883
24576,14,283.303,722.901
24576,15,301.900,678.370
24576,16,285.643,716.980
24576,17,294.926,694.413
24576,18,293.881,696.881
24576,19,294.446,695.543
24576,20,307.145,666.786
24576,21,322.344,635.346
24576,22,297.704,687.933
24576,23,303.961,673.770
24576,24,319.232,641.540
24576,25,302.899,676.132
24576,26,291.258,703.157
24576,27,287.944,711.250
24576,28,295.970,691.962
24576,29,288.105,710.851
24576,30,288.122,710.809
32768,1,264.375,774.656
32768,2,245.863,832.984
32768,3,241.777,847.061
32768,4,252.269,811.832
32768,5,243.671,840.477
32768,6,245.579,833.946
32768,7,249.028,822.397
32768,8,248.095,825.490
32768,9,242.378,844.960
32768,10,245.769,833.303
32768,11,259.661,788.719
32768,12,245.344,834.747
32768,13,243.343,841.612
32768,14,244.085,839.051
32768,15,238.022,860.424
32768,16,245.802,833.192
32768,17,230.023,890.347
32768,18,236.570,865.705
32768,19,239.372,855.571
32768,20,232.272,881.724
32768,21,248.042,825.668
32768,22,240.297,852.277
32768,23,243.933,839.576
32768,24,246.365,831.288
32768,25,243.149,842.282
32768,26,239.107,856.520
32768,27,230.472,888.610
32768,28,241.818,846.917
32768,29,242.309,845.202
32768,30,233.397,877.474
40960,1,230.179,889.743
40960,2,202.296,1012.378
40960,3,198.861,1029.866
40960,4,195.011,1050.195
40960,5,201.981,1013.958
40960,6,196.773,1040.794
40960,7,204.774,1000.128
40960,8,208.433,982.571
40960,9,215.185,951.738
40960,10,208.303,983.183
40960,11,207.919,984.999
40960,12,209.540,977.380
40960,13,211.866,966.649
40960,14,209.842,975.974
40960,15,210.250,974.078
40960,16,204.638,1000.793
40960,17,204.608,1000.940
40960,18,208.949,980.144
40960,19,212.218,965.045
40960,20,196.680,1041.287
40960,21,190.783,1073.468
40960,22,187.056,1094.860
40960,23,200.983,1018.991
40960,24,197.554,1036.677
40960,25,200.941,1019.205
40960,26,202.936,1009.183
40960,27,208.201,983.665
40960,28,206.317,992.646
40960,29,206.711,990.754
40960,30,209.041,979.712
49152,1,215.935,948.433
