chunk_size,run_number,time_ms,throughput_mibps
8192,1,958.344,213.702
8192,2,857.733,238.769
8192,3,820.984,249.457
8192,4,830.644,246.556
8192,5,839.868,243.848
8192,6,859.716,238.218
8192,7,811.531,252.363
8192,8,799.145,256.274
8192,9,868.923,235.694
8192,10,836.493,244.832
8192,11,850.205,240.883
8192,12,747.488,273.984
8192,13,844.884,242.400
8192,14,848.504,241.366
8192,15,865.246,236.696
8192,16,830.276,246.665
8192,17,820.872,249.491
8192,18,853.682,239.902
8192,19,832.455,246.019
8192,20,821.766,249.219
8192,21,816.593,250.798
8192,22,784.142,261.177
8192,23,854.128,239.777
8192,24,895.407,228.723
8192,25,871.846,234.904
8192,26,798.606,256.447
8192,27,884.135,231.639
8192,28,880.426,232.615
8192,29,859.635,238.241
8192,30,833.931,245.584
16384,1,468.339,437.290
16384,2,486.288,421.149
16384,3,483.407,423.659
16384,4,484.559,422.653
16384,5,483.730,423.377
16384,6,495.014,413.725
16384,7,468.562,437.082
16384,8,470.597,435.192
16384,9,475.077,431.088
16384,10,495.944,412.950
16384,11,487.608,420.010
16384,12,515.592,397.213
16384,13,509.567,401.910
16384,14,523.565,391.164
16384,15,515.110,397.585
16384,16,473.454,432.566
16384,17,461.204,444.055
16384,18,497.999,411.246
16384,19,468.859,436.805
16384,20,533.738,383.709
16384,21,506.701,404.183
16384,22,493.796,414.746
16384,23,502.426,407.622
16384,24,484.245,422.926
16384,25,634.373,322.839
16384,26,468.675,436.977
16384,27,508.745,402.559
16384,28,439.996,465.459
16384,29,504.293,406.113
16384,30,517.273,395.922
24576,1,357.035,573.613
24576,2,370.417,552.890
24576,3,379.018,540.344
24576,4,377.424,542.626
24576,5,373.259,548.681
24576,6,367.709,556.962
24576,7,369.692,553.975
24576,8,355.337,576.354
24576,9,362.048,565.671
24576,10,364.234,562.276
24576,11,364.587,561.731
24576,12,352.376,581.197
24576,13,368.703,555.461
24576,14,376.977,543.269
24576,15,389.829,525.358
24576,16,379.406,539.791
24576,17,373.799,547.888
24576,18,369.891,553.676
24576,19,365.023,561.061
24576,20,365.953,559.634
24576,21,365.502,560.325
24576,22,361.638,566.312
24576,23,366.026,559.522
24576,24,386.818,529.448
24576,25,366.897,558.195
24576,26,369.458,554.325
24576,27,378.973,540.408
24576,28,374.107,547.438
24576,29,374.379,547.039
24576,30,366.481,558.829
32768,1,284.874,718.914
32768,2,315.503,649.122
32768,3,306.355,668.506
32768,4,312.577,655.199
32768,5,311.164,658.175
32768,6,313.093,654.119
32768,7,315.166,649.815
32768,8,309.614,661.470
32768,9,307.994,664.947
32768,10,305.410,670.574
32768,11,317.520,645.000
32768,12,308.037,664.856
32768,13,278.693,734.858
32768,14,312.108,656.183
32768,15,309.491,661.731
32768,16,310.797,658.950
32768,17,310.117,660.397
32768,18,301.622,678.996
32768,19,308.040,664.850
32768,20,327.036,626.231
32768,21,306.483,668.226
32768,22,319.734,640.533
32768,23,289.735,706.853
32768,24,298.707,685.621
32768,25,304.788,671.942
32768,26,301.353,679.602
32768,27,309.782,661.110
32768,28,322.268,635.495
32768,29,308.641,663.555
32768,30,304.141,673.372
40960,1,265.994,769.943
40960,2,268.738,762.081
40960,3,272.305,752.097
40960,4,271.463,754.432
40960,5,273.559,748.651
40960,6,273.841,747.880
40960,7,277.020,739.296
40960,8,276.520,740.635
40960,9,269.535,759.828
40960,10,279.653,732.335
40960,11,270.562,756.942
40960,12,308.446,663.974
40960,13,296.232,691.350
40960,14,273.936,747.620
40960,15,276.540,740.581
40960,16,274.198,746.907
40960,17,271.141,755.327
40960,18,265.301,771.952
40960,19,270.718,756.507
40960,20,265.283,772.006
40960,21,278.597,735.111
40960,22,278.136,736.330
40960,23,280.531,730.044
40960,24,278.875,734.379
40960,25,278.890,734.340
40960,26,275.461,743.482
40960,27,270.400,757.397
40960,28,276.348,741.094
40960,29,270.713,756.520
40960,30,267.811,764.717
49152,1,244.568,837.393
49152,2,242.423,844.804
49152,3,248.244,824.995
49152,4,252.239,811.930
49152,5,248.435,824.359
49152,6,241.522,847.956
49152,7,246.097,832.194
49152,8,253.930,806.522
49152,9,258.949,790.890
49152,10,256.139,799.566
49152,11,250.179,818.615
49152,12,250.686,816.959
49152,13,247.427,827.719
49152,14,242.655,843.997
49152,15,248.292,824.834
49152,16,247.402,827.802
49152,17,260.494,786.199
49152,18,256.510,798.408
49152,19,255.604,801.239
49152,20,255.347,802.045
49152,21,252.066,812.487
49152,22,265.290,771.986
49152,23,258.949,790.890
49152,24,246.078,832.255
49152,25,261.116,784.325
49152,26,240.795,850.516
49152,27,242.459,844.678
49152,28,251.948,812.868
49152,29,248.040,825.675
49152,30,251.718,813.609
57344,1,224.760,911.193
57344,2,236.623,865.511
57344,3,238.285,859.475
57344,4,231.140,886.042
57344,5,249.133,822.050
57344,6,235.413,869.961
57344,7,242.899,843.148
57344,8,247.897,826.150
57344,9,237.768,861.345
57344,10,236.518,865.897
57344,11,222.587,920.089
57344,12,234.931,871.746
57344,13,234.577,873.060
57344,14,231.341,885.275
57344,15,232.513,880.811
57344,16,234.708,872.575
57344,17,236.613,865.548
57344,18,234.527,873.247
57344,19,231.752,883.705
57344,20,232.811,879.684
57344,21,238.191,859.816
57344,22,232.785,879.782
57344,23,235.290,870.414
57344,24,233.991,875.248
57344,25,230.176,889.753
57344,26,240.143,852.824
57344,27,228.422,896.588
57344,28,234.222,874.383
57344,29,239.254,855.995
57344,30,224.553,912.034
65536,1,214.268,955.814
65536,2,225.756,907.175
65536,3,228.206,897.436
65536,4,222.335,921.131
65536,5,229.208,893.512
65536,6,224.324,912.967
65536,7,231.789,883.562
65536,8,227.968,898.373
65536,9,234.110,874.804
65536,10,222.995,918.406
65536,11,228.777,895.194
65536,12,215.676,949.574
65536,13,219.920,931.250
65536,14,223.663,915.664
65536,15,223.638,915.766
65536,16,218.008,939.414
65536,17,217.138,943.179
65536,18,226.413,904.542
65536,19,225.207,909.387
65536,20,233.160,878.365
65536,21,229.230,893.424
65536,22,224.742,911.267
65536,23,228.903,894.702
65536,24,248.728,823.389
65536,25,229.800,891.210
65536,26,222.279,921.364
65536,27,220.914,927.059
65536,28,217.390,942.087
65536,29,228.905,894.694
65536,30,221.319,925.361
73728,1,207.196,988.434
73728,2,204.392,1001.994
73728,3,214.085,956.628
73728,4,212.228,964.998
73728,5,220.131,930.355
73728,6,213.150,960.824
73728,7,215.039,952.384
73728,8,216.149,947.493
73728,9,213.686,958.418
73728,10,217.318,942.396
73728,11,225.454,908.390
73728,12,217.983,939.523
73728,13,219.027,935.046
73728,14,216.388,946.446
73728,15,208.026,984.493
73728,16,204.585,1001.053
73728,17,206.860,990.043
73728,18,214.282,955.749
73728,19,228.439,896.519
73728,20,212.469,963.905
73728,21,205.983,994.256
73728,22,213.947,957.245
73728,23,219.113,934.679
73728,24,212.793,962.436
73728,25,214.864,953.161
73728,26,228.574,895.991
73728,27,229.991,890.471
73728,28,216.458,946.144
73728,29,208.805,980.818
73728,30,206.460,991.957
81920,1,191.921,1067.107
81920,2,199.412,1027.021
81920,3,197.969,1034.504
81920,4,208.129,984.004
81920,5,205.209,998.007
81920,6,212.709,962.817
81920,7,216.086,947.769
81920,8,225.801,906.995
81920,9,208.610,981.737
81920,10,225.111,909.773
81920,11,200.485,1021.525
