chunk_size,run_number,time_ms,throughput_mibps
8192,1,1277.001,160.376
8192,2,775.305,264.154
8192,3,775.563,264.066
8192,4,799.979,256.007
8192,5,784.121,261.184
8192,6,776.608,263.711
8192,7,765.349,267.590
8192,8,728.546,281.108
8192,9,767.719,266.764
8192,10,786.831,260.285
8192,11,786.776,260.303
8192,12,752.109,272.301
8192,13,725.017,282.476
8192,14,774.216,264.526
8192,15,756.388,270.760
8192,16,758.715,269.930
8192,17,698.105,293.366
8192,18,713.653,286.974
8192,19,740.387,276.612
8192,20,769.971,265.984
8192,21,776.812,263.642
8192,22,775.490,264.091
8192,23,726.246,281.998
8192,24,706.926,289.705
8192,25,778.724,262.994
8192,26,775.159,264.204
8192,27,793.111,258.224
8192,28,777.681,263.347
8192,29,740.796,276.459
8192,30,774.757,264.341
16384,1,451.709,453.389
16384,2,407.481,502.601
16384,3,414.195,494.453
16384,4,393.564,520.373
16384,5,405.782,504.704
16384,6,413.706,495.037
16384,7,394.257,519.458
16384,8,402.447,508.887
16384,9,418.775,489.045
16384,10,418.862,488.944
16384,11,423.030,484.126
16384,12,423.502,483.586
16384,13,417.219,490.869
16384,14,421.111,486.333
16384,15,426.127,480.608
16384,16,418.277,489.628
16384,17,406.467,503.854
16384,18,412.720,496.220
16384,19,417.912,490.056
16384,20,412.859,496.054
16384,21,417.487,490.554
16384,22,416.394,491.841
16384,23,414.284,494.347
16384,24,417.434,490.617
16384,25,411.820,497.304
16384,26,394.649,518.943
16384,27,396.141,516.988
16384,28,426.458,480.235
16384,29,418.946,488.846
16384,30,412.274,496.757
24576,1,322.567,634.907
24576,2,281.973,726.311
24576,3,274.773,745.343
24576,4,263.855,776.183
24576,5,273.069,749.992
24576,6,273.502,748.806
24576,7,273.747,748.136
24576,8,260.323,786.716
24576,9,279.116,733.746
24576,10,281.688,727.045
24576,11,285.305,717.828
24576,12,294.735,694.861
24576,13,299.992,682.685
24576,14,296.442,690.859
24576,15,296.622,690.440
24576,16,301.523,679.219
24576,17,299.553,683.686
24576,18,288.757,709.248
24576,19,306.964,667.179
24576,20,287.502,712.344
24576,21,285.853,716.452
24576,22,286.585,714.622
24576,23,284.714,719.318
24576,24,280.416,730.343
24576,25,280.957,728.936
24576,26,297.687,687.970
24576,27,295.608,692.809
24576,28,295.757,692.460
24576,29,288.848,709.023
24576,30,287.681,711.899
32768,1,254.708,804.058
32768,2,242.034,846.162
32768,3,235.516,869.579
32768,4,229.306,893.130
32768,5,237.413,862.633
32768,6,233.963,875.353
32768,7,231.980,882.834
32768,8,228.724,895.402
32768,9,234.541,873.194
32768,10,235.814,868.479
32768,11,237.025,864.045
32768,12,238.687,858.027
32768,13,233.470,877.202
32768,14,228.206,897.435
32768,15,233.196,878.232
32768,16,227.730,899.312
32768,17,233.479,877.165
32768,18,237.697,861.601
32768,19,241.184,849.144
32768,20,237.609,861.921
32768,21,239.096,856.560
32768,22,236.442,866.174
32768,23,240.996,849.806
32768,24,229.950,890.629
32768,25,237.092,863.798
32768,26,234.349,873.910
32768,27,235.711,868.860
32768,28,237.084,863.830
32768,29,238.003,860.493
32768,30,248.281,824.871
40960,1,242.970,842.902
40960,2,201.936,1014.182
40960,3,191.890,1067.279
40960,4,192.060,1066.332
40960,5,206.820,990.234
40960,6,205.642,995.907
40960,7,206.485,991.839
40960,8,194.488,1053.024
40960,9,197.805,1035.365
40960,10,191.862,1067.433
40960,11,185.435,1104.429
40960,12,203.788,1004.964
40960,13,193.774,1056.902
40960,14,215.526,950.232
40960,15,198.215,1033.220
40960,16,205.437,996.897
40960,17,201.056,1018.621
40960,18,205.578,996.213
40960,19,195.265,1048.830
40960,20,195.298,1048.652
40960,21,197.319,1037.915
40960,22,202.384,1011.939
40960,23,194.666,1052.061
40960,24,187.984,1089.452
40960,25,192.980,1061.251
40960,26,189.119,1082.918
40960,27,194.308,1053.997
40960,28,197.235,1038.356
40960,29,193.975,1055.808
40960,30,202.250,1012.609
49152,1,210.585,972.528
49152,2,169.398,1208.985
49152,3,173.567,1179.949
49152,4,172.721,1185.729
49152,5,177.444,1154.165
