chunk_size,run_number,time_ms,throughput_mibps
8192,1,846.054,242.065
8192,2,784.449,261.075
8192,3,806.283,254.005
8192,4,858.785,238.477
8192,5,845.748,242.152
8192,6,826.704,247.731
8192,7,803.015,255.039
8192,8,814.795,251.352
8192,9,852.944,240.110
8192,10,858.716,238.496
8192,11,866.141,236.451
8192,12,835.069,245.249
8192,13,851.702,240.460
8192,14,808.925,253.176
8192,15,817.989,250.370
8192,16,800.837,255.733
8192,17,783.324,261.450
8192,18,836.963,244.694
8192,19,847.870,241.546
8192,20,797.972,256.651
8192,21,772.998,264.942
8192,22,771.422,265.484
8192,23,847.561,241.635
8192,24,844.046,242.641
8192,25,842.442,243.103
8192,26,778.457,263.085
8192,27,807.475,253.630
8192,28,827.478,247.499
8192,29,852.131,240.339
8192,30,842.236,243.162
16384,1,443.579,461.699
16384,2,444.421,460.825
16384,3,451.304,453.796
16384,4,479.944,426.717
16384,5,493.008,415.409
16384,6,452.607,452.490
16384,7,461.804,443.478
16384,8,460.542,444.694
16384,9,426.289,480.425
16384,10,463.339,442.009
16384,11,477.016,429.335
16384,12,471.085,434.741
16384,13,456.188,448.937
16384,14,459.284,445.911
16384,15,462.859,442.467
16384,16,446.487,458.692
16384,17,448.630,456.501
16384,18,459.574,445.630
16384,19,478.230,428.246
16384,20,476.752,429.574
16384,21,483.647,423.450
16384,22,451.616,453.483
16384,23,471.803,434.079
16384,24,475.384,430.810
16384,25,458.159,447.006
16384,26,431.086,475.080
16384,27,479.461,427.146
16384,28,475.880,430.360
16384,29,467.230,438.328
16384,30,464.658,440.754
24576,1,347.426,589.478
24576,2,332.653,615.657
24576,3,353.727,578.977
24576,4,319.863,640.274
24576,5,358.375,571.469
24576,6,349.605,585.805
24576,7,355.821,575.570
24576,8,372.538,549.743
24576,9,349.017,586.792
24576,10,342.507,597.945
24576,11,350.829,583.760
24576,12,326.870,626.549
24576,13,348.848,587.076
24576,14,334.470,612.312
24576,15,317.640,644.754
24576,16,346.686,590.737
24576,17,343.869,595.576
24576,18,354.474,577.758
24576,19,347.449,589.438
24576,20,347.192,589.876
24576,21,356.661,574.215
24576,22,346.015,591.882
24576,23,323.540,632.997
24576,24,342.119,598.622
24576,25,343.071,596.960
24576,26,337.895,606.106
24576,27,341.231,600.180
24576,28,342.654,597.688
24576,29,347.210,589.844
24576,30,353.654,579.097
32768,1,287.051,713.462
32768,2,284.529,719.787
32768,3,296.214,691.393
32768,4,289.381,707.717
32768,5,292.305,700.637
32768,6,279.104,733.777
32768,7,289.397,707.678
32768,8,291.355,702.924
32768,9,296.854,689.901
32768,10,290.850,704.144
32768,11,307.820,665.324
32768,12,294.741,694.848
32768,13,288.212,710.587
32768,14,292.937,699.127
32768,15,297.030,689.493
32768,16,298.840,685.317
32768,17,281.082,728.613
32768,18,282.830,724.110
32768,19,302.292,677.490
32768,20,294.697,694.950
32768,21,287.857,711.464
32768,22,299.880,682.939
32768,23,309.244,662.261
32768,24,299.296,684.272
32768,25,293.817,697.033
32768,26,298.959,685.044
32768,27,304.522,672.529
32768,28,289.072,708.474
32768,29,288.150,710.740
32768,30,284.336,720.275
40960,1,249.538,820.718
40960,2,253.569,807.669
40960,3,260.262,786.901
40960,4,272.408,751.813
40960,5,262.038,781.566
40960,6,254.935,803.343
40960,7,267.795,764.764
40960,8,257.543,795.207
40960,9,264.417,774.536
40960,10,256.164,799.489
40960,11,262.534,780.089
40960,12,256.907,797.176
40960,13,255.104,802.810
40960,14,256.659,797.946
40960,15,251.959,812.829
40960,16,254.291,805.378
40960,17,261.661,782.693
40960,18,255.981,800.059
40960,19,267.808,764.727
40960,20,254.847,803.620
40960,21,264.385,774.629
40960,22,259.766,788.401
40960,23,259.151,790.273
40960,24,253.071,809.258
40960,25,259.448,789.367
40960,26,257.153,796.414
40960,27,252.085,812.424
40960,28,254.589,804.433
40960,29,253.796,806.948
40960,30,249.363,821.294
49152,1,226.344,904.817
49152,2,237.682,861.655
49152,3,235.650,869.085
49152,4,241.214,849.037
49152,5,236.873,864.600
49152,6,239.542,854.964
49152,7,231.713,883.850
49152,8,242.423,844.805
49152,9,243.387,841.460
49152,10,248.310,824.777
49152,11,238.289,859.461
49152,12,236.928,864.399
49152,13,232.034,882.630
49152,14,229.275,893.252
49152,15,263.139,778.295
49152,16,241.804,846.967
49152,17,240.650,851.027
49152,18,242.848,843.326
49152,19,241.505,848.016
49152,20,244.784,836.656
49152,21,239.686,854.452
49152,22,241.222,849.009
49152,23,249.775,819.937
49152,24,243.750,840.204
49152,25,240.345,852.107
49152,26,247.609,827.112
49152,27,241.613,847.638
49152,28,234.219,874.395
49152,29,233.646,876.539
49152,30,232.882,879.416
57344,1,221.003,926.683
57344,2,219.649,932.396
57344,3,243.496,841.082
57344,4,223.634,915.783
57344,5,234.209,874.433
57344,6,220.294,929.667
57344,7,225.212,909.364
57344,8,222.671,919.741
57344,9,224.676,911.535
57344,10,231.939,882.990
57344,11,232.382,881.309
57344,12,218.818,935.937
57344,13,234.002,875.205
57344,14,218.362,937.891
57344,15,227.696,899.446
57344,16,226.420,904.512
57344,17,228.874,894.815
57344,18,228.437,896.529
57344,19,223.366,916.882
57344,20,228.685,895.556
57344,21,223.250,917.359
57344,22,215.985,948.212
57344,23,238.476,858.786
57344,24,220.055,930.676
57344,25,239.893,853.713
57344,26,226.240,905.235
57344,27,218.909,935.547
57344,28,222.116,922.041
57344,29,216.086,947.772
57344,30,219.538,932.869
65536,1,196.473,1042.384
65536,2,211.555,968.070
65536,3,221.478,924.698
65536,4,215.874,948.700
65536,5,206.351,992.485
65536,6,209.826,976.047
65536,7,211.694,967.433
65536,8,217.552,941.383
65536,9,211.257,969.436
65536,10,213.896,957.475
65536,11,217.381,942.126
65536,12,213.935,957.302
65536,13,204.194,1002.968
65536,14,213.142,960.863
65536,15,206.358,992.451
65536,16,208.231,983.522
65536,17,208.525,982.136
65536,18,220.021,930.820
65536,19,219.429,933.330
65536,20,217.599,941.182
65536,21,229.279,893.233
65536,22,217.309,942.438
65536,23,221.301,925.438
65536,24,223.313,917.100
65536,25,214.840,953.265
65536,26,221.281,925.520
65536,27,216.700,945.085
65536,28,214.243,955.923
65536,29,213.940,957.279
65536,30,233.457,877.249
73728,1,205.963,994.354
73728,2,201.131,1018.243
73728,3,200.760,1020.124
73728,4,206.091,993.736
73728,5,202.871,1009.509
73728,6,204.601,1000.975
73728,7,208.198,983.677
73728,8,207.613,986.450
73728,9,200.717,1020.344
73728,10,202.022,1013.751
73728,11,209.491,977.606
73728,12,221.568,924.323
73728,13,217.275,942.582
73728,14,203.440,1006.683
73728,15,192.317,1064.908
73728,16,197.562,1036.636
73728,17,202.569,1011.015
73728,18,209.160,979.157
73728,19,194.728,1051.722
73728,20,201.330,1017.236
73728,21,202.662,1010.550
73728,22,199.092,1028.672
73728,23,201.094,1018.429
73728,24,189.699,1079.604
73728,25,207.324,987.827
73728,26,202.051,1013.605
73728,27,207.571,986.652
73728,28,203.367,1007.045
73728,29,205.477,996.705
73728,30,199.979,1024.107
81920,1,210.720,971.906
81920,2,196.506,1042.205
81920,3,201.740,1015.169
81920,4,214.268,955.813
81920,5,203.594,1005.924
